ligand,E1,E2,E3
BKCXTZWLBPOGRU-XQHKEYJVSA-N,-6.5,-8.0,-6.4
OMOMUFTZPTXCHP-UHFFFAOYSA-N,-5.5,-5.3,-4.2
QPCDCPDFJACHGM-UHFFFAOYSA-N,-6.6,-6.8,-5.3
PXBVEXGRHZFEOF-QGZVFWFLSA-N,-6.2,-9.0,-6.6
XREUEWVEMYWFFA-CSKJXFQVSA-N,-7.6,-11.2,-7.4
FTCYIGBVOHNHCD-UHFFFAOYSA-N,-5.0,-5.7,-4.8
AFSYRVDDZGJTIL-OCAPTIKFSA-N,-5.2,-5.1,-4.4
LCFBCKSQWVQIBY-UYAOXDASSA-N,-7.8,-8.5,-7.0
ZXVNMYWKKDOREA-UHFFFAOYSA-N,-6.5,-7.9,-6.8
KJAMZCVTJDTESW-UHFFFAOYSA-N,-6.4,-9.3,-6.6
NZUPCNDJBJXXRF-LURJTMIESA-O,-4.7,-4.7,-4.1
XIHXRRMCNSMUET-UHFFFAOYSA-N,-7.2,-7.8,-6.1
HFXKQSZZZPGLKQ-MRVPVSSYSA-N,-5.3,-5.6,-4.2
WREGKURFCTUGRC-POYBYMJQSA-N,-6.4,-7.2,-6.0
UBAJTZKNDCEGKL-UHFFFAOYSA-N,-7.1,-11.5,-8.3
STLZCUYBVPNYED-UHFFFAOYSA-N,-5.3,-7.0,-5.7
CREICILGVGNQBH-UHFFFAOYSA-N,-5.8,-7.5,-7.3
WFPIAZLQTJBIFN-UHFFFAOYSA-N,-6.7,-9.4,-7.8
IBGBGRVKPALMCQ-UHFFFAOYSA-N,-5.6,-6.1,-5.3
SAZUGELZHZOXHB-UHFFFAOYSA-N,-5.6,-6.3,-5.2
YAHRDLICUYEDAU-RNFRBKRXSA-N,-4.6,-4.3,-3.9
IQWCBYSUUOFOMF-QTLFRQQHSA-N,-5.5,-6.2,-5.2
FYJJXENSONZJRG-UHFFFAOYSA-N,-7.0,-7.0,-5.5
