ligand,E1,E2,E3
STLZCUYBVPNYED-UHFFFAOYSA-N,-6.4,-4.4,-6.7
WFPIAZLQTJBIFN-UHFFFAOYSA-N,-8.5,-7.2,-8.5
AFSYRVDDZGJTIL-OCAPTIKFSA-N,-5.3,-5.2,-4.3
XREUEWVEMYWFFA-CSKJXFQVSA-N,-8.6,-2.5,-9.8
FTCYIGBVOHNHCD-UHFFFAOYSA-N,-6.2,-5.8,-4.8
KJAMZCVTJDTESW-UHFFFAOYSA-N,-7.9,-6.5,-8.8
PXBVEXGRHZFEOF-QGZVFWFLSA-N,-6.7,4.1,-9.4
ZXVNMYWKKDOREA-UHFFFAOYSA-N,-7.9,-5.7,-7.7
QPCDCPDFJACHGM-UHFFFAOYSA-N,-4.9,-5.5,-6.2
CREICILGVGNQBH-UHFFFAOYSA-N,-6.9,-3.8,-8.7
OMOMUFTZPTXCHP-UHFFFAOYSA-N,-4.5,-5.5,-4.8
UBAJTZKNDCEGKL-UHFFFAOYSA-N,-9.6,-9.1,-10.4
NZUPCNDJBJXXRF-LURJTMIESA-O,-4.0,-4.6,-4.2
BKCXTZWLBPOGRU-XQHKEYJVSA-N,-6.6,-2.5,-8.3
IBGBGRVKPALMCQ-UHFFFAOYSA-N,-6.3,-6.0,-5.2
IQWCBYSUUOFOMF-QTLFRQQHSA-N,-5.5,-4.9,-5.8
YAHRDLICUYEDAU-RNFRBKRXSA-N,-5.4,-5.1,-4.0
WREGKURFCTUGRC-POYBYMJQSA-N,-6.4,-5.6,-6.2
HFXKQSZZZPGLKQ-MRVPVSSYSA-N,-6.7,-5.6,-4.9
SAZUGELZHZOXHB-UHFFFAOYSA-N,-5.7,-5.2,-6.5
FYJJXENSONZJRG-UHFFFAOYSA-N,-6.2,-6.7,-7.0
LCFBCKSQWVQIBY-UYAOXDASSA-N,-6.8,-5.1,-8.4
XIHXRRMCNSMUET-UHFFFAOYSA-N,-6.5,-7.0,-6.2
