ligand,E1,E2,E3
LDCRTTXIJACKKU-ONEGZZNKSA-N,-5.0,-5.1,-4.7
YNBADRVTZLEFNH-UHFFFAOYSA-N,-5.7,-5.6,-5.2
NZHGWWWHIYHZNX-CSKARUKUSA-N,-8.5,-7.7,0.0
CNNRPFQICPFDPO-UHFFFAOYSA-N,-5.6,-6.1,-5.3
GFFGJBXGBJISGV-UHFFFAOYSA-N,-5.4,-5.3,-5.5
XQCGNURMLWFQJR-ZNDDOCHDSA-N,-9.3,-9.8,-4.1
VSTNNAYSCJQCQI-ZLNRFVROSA-N,-8.4,-8.2,-8.0
STUWGJZDJHPWGZ-LBPRGKRZSA-N,-8.5,-8.2,2.8
CXOFVDLJLONNDW-UHFFFAOYSA-N,-8.6,-7.9,-4.3
CUHVIMMYOGQXCV-NSHDSACASA-N,-7.7,-6.6,-6.7
BXWNKGSJHAJOGX-UHFFFAOYSA-N,-5.8,-4.4,-5.8
IEJXVRYNEISIKR-UHFFFAOYSA-N,-6.1,-5.7,-6.0
KTOAWCPDBUCJED-UHFFFAOYSA-N,-6.9,-6.3,-7.1
LCQLHJZYVOQKHU-VKHMYHEASA-N,-5.7,-5.0,-5.9
FJCFFCXMEXZEIM-UHFFFAOYSA-N,-6.0,-5.6,-5.9
DJUFPMUQJKWIJB-UHFFFAOYSA-N,-9.1,-8.9,-0.9
WFPIAZLQTJBIFN-DVZOWYKESA-N,-7.5,-7.9,-3.0
KINWYTAUPKOPCQ-YFKPBYRVSA-N,-5.2,-5.2,-5.1
MITFXPHMIHQXPI-SECBINFHSA-N,-7.4,-7.3,-7.1
OXLKOMYHDYVIDM-UHFFFAOYSA-N,-7.5,-7.2,-1.6
CYZWCBZIBJLKCV-OALRPVAKSA-N,-5.5,-5.2,-4.0
WUBBRNOQWQTFEX-UHFFFAOYSA-N,-6.4,-6.0,-6.0
VFKZTMPDYBFSTM-GUCUJZIJSA-N,-5.0,-4.5,-5.1
DBGIVFWFUFKIQN-VIFPVBQESA-N,-7.9,-6.1,-7.2
FWTXWYXPXGKVJG-VIFPVBQESA-N,-7.0,-6.5,-6.3
