ligand,E1,E2,E3
FWTXWYXPXGKVJG-VIFPVBQESA-N,-5.4,-6.0,-6.0
WFPIAZLQTJBIFN-DVZOWYKESA-N,-8.2,-7.1,-7.6
XQCGNURMLWFQJR-ZNDDOCHDSA-N,-7.8,-6.6,-8.7
DBGIVFWFUFKIQN-VIFPVBQESA-N,-6.7,-6.6,-6.4
GFFGJBXGBJISGV-UHFFFAOYSA-N,-5.1,-6.0,-5.2
CNNRPFQICPFDPO-UHFFFAOYSA-N,-5.4,-5.6,-5.7
MITFXPHMIHQXPI-SECBINFHSA-N,-7.1,-8.0,-7.2
WUBBRNOQWQTFEX-UHFFFAOYSA-N,-5.9,-6.2,-5.4
VFKZTMPDYBFSTM-GUCUJZIJSA-N,-4.8,-5.3,-4.7
CUHVIMMYOGQXCV-NSHDSACASA-N,-6.1,-6.7,-6.8
STUWGJZDJHPWGZ-LBPRGKRZSA-N,-7.9,-7.6,-8.5
CXOFVDLJLONNDW-UHFFFAOYSA-N,-6.7,-6.9,-8.2
NZHGWWWHIYHZNX-CSKARUKUSA-N,-7.2,-7.9,-7.6
IEJXVRYNEISIKR-UHFFFAOYSA-N,-6.0,-7.1,-6.0
KTOAWCPDBUCJED-UHFFFAOYSA-N,-6.8,-6.1,-6.7
FJCFFCXMEXZEIM-UHFFFAOYSA-N,-5.2,-5.9,-4.9
DJUFPMUQJKWIJB-UHFFFAOYSA-N,-8.7,-7.9,-8.3
LCQLHJZYVOQKHU-VKHMYHEASA-N,-6.1,-6.9,-5.9
OXLKOMYHDYVIDM-UHFFFAOYSA-N,-7.0,-6.6,-6.9
LDCRTTXIJACKKU-ONEGZZNKSA-N,-4.5,-5.4,-4.1
VSTNNAYSCJQCQI-ZLNRFVROSA-N,-7.0,-6.9,-7.5
KINWYTAUPKOPCQ-YFKPBYRVSA-N,-5.0,-5.6,-4.3
YNBADRVTZLEFNH-UHFFFAOYSA-N,-5.0,-5.5,-4.5
CYZWCBZIBJLKCV-OALRPVAKSA-N,-4.8,-4.1,-5.2
BXWNKGSJHAJOGX-UHFFFAOYSA-N,-5.4,-5.2,-5.0
