ligand,E1,E2,E3
CYZWCBZIBJLKCV-OALRPVAKSA-N,-4.3,-4.4,-4.6
NZHGWWWHIYHZNX-CSKARUKUSA-N,-6.5,-6.5,-6.8
GFFGJBXGBJISGV-UHFFFAOYSA-N,-4.1,-4.7,-4.6
KINWYTAUPKOPCQ-YFKPBYRVSA-N,-3.7,-3.9,-4.4
CNNRPFQICPFDPO-UHFFFAOYSA-N,-3.5,-4.2,-4.4
CXOFVDLJLONNDW-UHFFFAOYSA-N,-5.7,-6.7,-7.1
XQCGNURMLWFQJR-ZNDDOCHDSA-N,-6.7,-7.0,-8.5
BXWNKGSJHAJOGX-UHFFFAOYSA-N,-3.7,-4.0,-4.6
YNBADRVTZLEFNH-UHFFFAOYSA-N,-3.8,-4.4,-4.6
CUHVIMMYOGQXCV-NSHDSACASA-N,-5.5,-5.4,-5.8
DJUFPMUQJKWIJB-UHFFFAOYSA-N,-6.8,-8.1,-8.0
IEJXVRYNEISIKR-UHFFFAOYSA-N,-4.7,-5.3,-5.3
LCQLHJZYVOQKHU-VKHMYHEASA-N,-4.3,-4.7,-5.0
DBGIVFWFUFKIQN-VIFPVBQESA-N,-5.2,-5.9,-5.7
MITFXPHMIHQXPI-SECBINFHSA-N,-6.1,-7.0,-7.4
WUBBRNOQWQTFEX-UHFFFAOYSA-N,-4.6,-4.9,-5.3
VSTNNAYSCJQCQI-ZLNRFVROSA-N,-6.3,-7.2,-7.0
STUWGJZDJHPWGZ-LBPRGKRZSA-N,-6.0,-7.1,-8.4
KTOAWCPDBUCJED-UHFFFAOYSA-N,-4.9,-5.6,-5.7
WFPIAZLQTJBIFN-DVZOWYKESA-N,-6.5,-6.9,-7.6
VFKZTMPDYBFSTM-GUCUJZIJSA-N,-4.1,-4.1,-4.5
LDCRTTXIJACKKU-ONEGZZNKSA-N,-3.6,-3.6,-4.1
FWTXWYXPXGKVJG-VIFPVBQESA-N,-5.0,-5.5,-5.1
FJCFFCXMEXZEIM-UHFFFAOYSA-N,-4.1,-4.8,-5.2
OXLKOMYHDYVIDM-UHFFFAOYSA-N,-5.7,-6.4,-6.7
