ligand,E1,E2,E3
OSJJYEUEJRVVOD-UHFFFAOYSA-N,-6.9,-6.8,-6.1
AHFWIQIYAXSLBA-RQXATKFSSA-N,-8.7,-7.1,-6.4
VOBHXZCDAVEXEY-JSGCOSHPSA-N,-6.1,-5.8,-5.0
PYSOHOOUXFWCFF-UHFFFAOYSA-N,-6.8,-6.3,-6.3
ROSXARVHJNYYDO-UHFFFAOYSA-N,-5.2,-4.2,-4.3
DB06243,-4.6,-4.4,-4.5
ZBVKEHDGYSLCCC-SFHVURJKSA-N,-7.5,-6.0,-5.8
XQTARQNQIVVBRX-UHFFFAOYSA-N,-7.3,-6.3,-6.3
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,-7.8,-7.0,-6.6
CORFWQGVBFFZHF-CKWBHOIGSA-N,-6.3,-5.1,-5.5
NNJVILVZKWQKPM-UHFFFAOYSA-N,-5.5,-4.7,-4.7
BEJNERDRQOWKJM-UHFFFAOYSA-N,-4.9,-4.6,-4.4
RLISWLLILOTWGG-UHFFFAOYSA-N,-6.2,-5.1,-5.0
QZIQORUGXBPDSU-UHFFFAOYSA-N,-6.3,-5.4,-5.5
GNZCRYWFWKFIDM-UHFFFAOYSA-N,-7.4,-7.2,-6.1
IRQOBYXMACIFKD-UHFFFAOYSA-N,-5.3,-4.9,-4.7
SNPLKNRPJHDVJA-ZETCQYMHSA-N,-4.9,-4.6,-3.9
DGMKFQYCZXERLX-OAHLLOKOSA-N,-6.4,-6.2,-5.4
QCDYQQDYXPDABM-UHFFFAOYSA-N,-4.5,-4.4,-4.4
DYUQAZSOFZSPHD-VIFPVBQESA-N,-5.3,-5.1,-4.9
DDDQVDIPBFGVIG-UHFFFAOYSA-N,-6.9,-7.3,-6.0
DHKKONBXGAAFTB-UHFFFAOYSA-N,-8.4,-6.1,-6.8
UMILHIMHKXVDGH-RYUDHWBXSA-N,-4.4,-4.5,-3.7
SIXLXDIJGIWWFU-UHFFFAOYSA-N,-6.5,-6.4,-5.0
NMAOJFAMEOVURT-BBWFWOEESA-N,-5.7,-5.9,-5.6
