ligand,E1,E2,E3
NNJVILVZKWQKPM-UHFFFAOYSA-N,-5.8,-6.1,-6.4
SIXLXDIJGIWWFU-UHFFFAOYSA-N,-7.0,-6.4,-7.5
DYUQAZSOFZSPHD-VIFPVBQESA-N,-5.1,-5.3,-5.8
QCDYQQDYXPDABM-UHFFFAOYSA-N,-4.8,-5.3,-5.2
OSJJYEUEJRVVOD-UHFFFAOYSA-N,-7.4,-7.7,-8.6
XQTARQNQIVVBRX-UHFFFAOYSA-N,-7.2,-7.5,-7.5
RLISWLLILOTWGG-UHFFFAOYSA-N,-6.2,-6.2,-6.7
CORFWQGVBFFZHF-CKWBHOIGSA-N,-5.7,-5.4,-7.2
VOBHXZCDAVEXEY-JSGCOSHPSA-N,-6.3,-6.5,-7.0
DHKKONBXGAAFTB-UHFFFAOYSA-N,-8.1,-8.1,-9.2
NMAOJFAMEOVURT-BBWFWOEESA-N,-6.4,-6.0,-6.6
SNPLKNRPJHDVJA-ZETCQYMHSA-N,-6.0,-5.4,-5.4
PYSOHOOUXFWCFF-UHFFFAOYSA-N,-7.4,-7.4,-8.1
AHFWIQIYAXSLBA-RQXATKFSSA-N,-8.7,-8.3,-8.9
UMILHIMHKXVDGH-RYUDHWBXSA-N,-4.6,-4.9,-4.5
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,-8.3,-8.9,-8.7
DB06243,-5.2,-5.1,-5.3
DDDQVDIPBFGVIG-UHFFFAOYSA-N,-7.3,-7.5,-8.1
GNZCRYWFWKFIDM-UHFFFAOYSA-N,-7.2,-7.6,-8.0
DGMKFQYCZXERLX-OAHLLOKOSA-N,-6.4,-6.4,-7.5
IRQOBYXMACIFKD-UHFFFAOYSA-N,-5.4,-5.8,-6.5
QZIQORUGXBPDSU-UHFFFAOYSA-N,-6.8,-6.7,-7.9
ROSXARVHJNYYDO-UHFFFAOYSA-N,-5.5,-5.5,-5.7
BEJNERDRQOWKJM-UHFFFAOYSA-N,-5.8,-5.3,-5.3
ZBVKEHDGYSLCCC-SFHVURJKSA-N,-7.6,-7.4,-7.4
