ligand,E1,E2,E3
PYSOHOOUXFWCFF-UHFFFAOYSA-N,-6.7,-6.3,-6.3
ROSXARVHJNYYDO-UHFFFAOYSA-N,-5.2,-4.5,-4.2
DYUQAZSOFZSPHD-VIFPVBQESA-N,-5.3,-5.0,-4.9
DGMKFQYCZXERLX-OAHLLOKOSA-N,-6.2,-6.1,-5.4
SNPLKNRPJHDVJA-ZETCQYMHSA-N,-5.2,-5.0,-3.9
DB06243,-4.5,-4.4,-4.5
XQTARQNQIVVBRX-UHFFFAOYSA-N,-7.3,-6.7,-6.2
UMILHIMHKXVDGH-RYUDHWBXSA-N,-4.2,-4.2,-3.6
RLISWLLILOTWGG-UHFFFAOYSA-N,-6.2,-5.1,-5.0
IRQOBYXMACIFKD-UHFFFAOYSA-N,-5.5,-4.9,-4.5
OSJJYEUEJRVVOD-UHFFFAOYSA-N,-6.5,-6.7,-6.1
DDDQVDIPBFGVIG-UHFFFAOYSA-N,-6.9,-7.3,-6.0
GNZCRYWFWKFIDM-UHFFFAOYSA-N,-7.4,-7.2,-6.2
VOBHXZCDAVEXEY-JSGCOSHPSA-N,-5.7,-5.6,-5.0
CORFWQGVBFFZHF-CKWBHOIGSA-N,-5.5,-5.3,-5.5
QCDYQQDYXPDABM-UHFFFAOYSA-N,-4.5,-4.4,-4.4
NNJVILVZKWQKPM-UHFFFAOYSA-N,-5.5,-4.8,-4.7
QZIQORUGXBPDSU-UHFFFAOYSA-N,-6.3,-5.4,-5.5
BEJNERDRQOWKJM-UHFFFAOYSA-N,-4.9,-4.6,-4.4
AHFWIQIYAXSLBA-RQXATKFSSA-N,-8.7,-7.1,-6.4
NMAOJFAMEOVURT-BBWFWOEESA-N,-5.5,-5.7,-4.5
SIXLXDIJGIWWFU-UHFFFAOYSA-N,-6.7,-6.6,-5.0
ZBVKEHDGYSLCCC-SFHVURJKSA-N,-7.5,-5.9,-5.8
DHKKONBXGAAFTB-UHFFFAOYSA-N,-8.4,-6.0,-6.8
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,-7.4,-7.0,-6.7
