ligand,E1,E2,E3
DJQOOSBJCLSSEY-UHFFFAOYSA-N,-5.2,-5.8,-5.5
XDXDZDZNSLXDNA-TZNDIEGXSA-N,-9.5,-9.0,-9.9
UJRRDDHEMZLWFI-UHFFFAOYSA-N,-5.3,-5.7,-5.6
IGISNRIWPJVXDB-VIFPVBQESA-N,-5.5,-6.2,-6.5
MVOUIYUWRXPNKD-UHFFFAOYSA-N,-5.7,-5.5,-6.5
OMHBPUNFVFNHJK-UHFFFAOYSA-P,-7.9,-7.4,-7.6
CGYQGGSMYNXXIV-IBGZPJMESA-N,-7.4,-7.3,-7.5
OJYGBLRPYBAHRT-IPQSZEQASA-N,-6.2,-6.4,-5.8
UYXHCVFXDBNRQW-UHFFFAOYSA-N,-5.8,-6.1,-6.3
AURFZBICLPNKBZ-YZRLXODZSA-N,-7.7,-7.7,-8.2
GXRZIMHKGDIBEW-UHFFFAOYSA-N,-5.6,-5.4,-5.9
NOPFSRXAKWQILS-UHFFFAOYSA-N,-4.9,-5.8,-5.7
NEIPZWZQHXCYDV-RFZPGFLSSA-N,-4.1,-4.4,-4.4
DUDKAZCAISNGQN-FQEVSTJZSA-N,-6.6,-7.1,-8.6
OBKXEAXTFZPCHS-UHFFFAOYSA-N,-5.6,-5.9,-6.2
HJZKOAYDRQLPME-UHFFFAOYSA-N,-5.0,-5.0,-4.8
OTGAHJPFNKQGAE-UHFFFAOYSA-N,-5.3,-5.7,-6.0
XQLWNAFCTODIRK-MUUNZHRXSA-N,-7.1,-6.8,-7.0
KPSRODZRAIWAKH-JTQLQIEISA-N,-6.4,-6.9,-6.7
QHJOIAXHOQIPJT-UHFFFAOYSA-N,-6.6,-6.3,-6.6
PTBKFATYSVLSSD-UHFFFAOYSA-N,-6.0,-5.8,-5.4
YEJZJVJJPVZXGX-MRXNPFEDSA-N,-6.4,-6.0,-7.3
RRAFCDWBNXTKKO-UHFFFAOYSA-N,-5.3,-5.8,-5.9
SQQCWHCJRWYRLB-GCDIXUMDSA-N,-7.5,-7.8,-7.4
VDPYMEBVIDZKMD-UHFFFAOYSA-N,-7.2,-7.0,-6.9
ULSIYEODSMZIPX-MRVPVSSYSA-N,-5.0,-5.0,-5.6
WQDZHQZKJMNOAY-KRWDZBQOSA-N,-7.0,-6.9,-6.9
NCEXYHBECQHGNR-QZQOTICOSA-N,-8.1,-8.3,-9.9
