ligand,E1,E2,E3
RRAFCDWBNXTKKO-UHFFFAOYSA-N,-6.3,-6.4,-5.4
GXRZIMHKGDIBEW-UHFFFAOYSA-N,-6.2,-6.4,-5.6
KPSRODZRAIWAKH-JTQLQIEISA-N,-7.7,-7.2,-7.1
SQQCWHCJRWYRLB-GCDIXUMDSA-N,-8.3,-8.4,-9.6
OMHBPUNFVFNHJK-UHFFFAOYSA-P,-7.4,-6.9,-8.5
XDXDZDZNSLXDNA-TZNDIEGXSA-N,-10.4,-10.4,-10.7
WQDZHQZKJMNOAY-KRWDZBQOSA-N,-6.7,-6.1,-6.8
PTBKFATYSVLSSD-UHFFFAOYSA-N,-6.5,-6.7,-6.0
XQLWNAFCTODIRK-MUUNZHRXSA-N,-7.5,-7.0,-7.7
OTGAHJPFNKQGAE-UHFFFAOYSA-N,-6.2,-5.8,-5.3
NCEXYHBECQHGNR-QZQOTICOSA-N,-9.2,-9.4,-8.9
MVOUIYUWRXPNKD-UHFFFAOYSA-N,-6.6,-6.7,-6.9
VDPYMEBVIDZKMD-UHFFFAOYSA-N,-8.4,-8.6,-7.5
NEIPZWZQHXCYDV-RFZPGFLSSA-N,-5.3,-5.3,-4.8
UJRRDDHEMZLWFI-UHFFFAOYSA-N,-6.7,-6.7,-6.1
DJQOOSBJCLSSEY-UHFFFAOYSA-N,-6.1,-6.4,-5.7
CGYQGGSMYNXXIV-IBGZPJMESA-N,-7.6,-7.2,-7.5
OJYGBLRPYBAHRT-IPQSZEQASA-N,-7.1,-7.2,-6.2
DUDKAZCAISNGQN-FQEVSTJZSA-N,-8.3,-7.9,-8.0
NOPFSRXAKWQILS-UHFFFAOYSA-N,-6.1,-5.3,-5.4
IGISNRIWPJVXDB-VIFPVBQESA-N,-6.5,-6.5,-5.8
QHJOIAXHOQIPJT-UHFFFAOYSA-N,-6.0,-6.5,-6.3
UYXHCVFXDBNRQW-UHFFFAOYSA-N,-6.5,-5.8,-6.2
AURFZBICLPNKBZ-YZRLXODZSA-N,-8.8,-9.1,-9.1
ULSIYEODSMZIPX-MRVPVSSYSA-N,-5.8,-5.3,-4.7
OBKXEAXTFZPCHS-UHFFFAOYSA-N,-6.1,-5.8,-5.8
YEJZJVJJPVZXGX-MRXNPFEDSA-N,-6.6,-6.7,-6.5
HJZKOAYDRQLPME-UHFFFAOYSA-N,-6.4,-6.4,-5.0
