ligand,E1,E2,E3
GXRZIMHKGDIBEW-UHFFFAOYSA-N,-5.6,-5.5,-5.9
UYXHCVFXDBNRQW-UHFFFAOYSA-N,-5.8,-6.1,-6.0
OMHBPUNFVFNHJK-UHFFFAOYSA-P,-7.8,-7.4,-7.7
HJZKOAYDRQLPME-UHFFFAOYSA-N,-5.0,-5.1,-4.8
ULSIYEODSMZIPX-MRVPVSSYSA-N,-5.0,-5.0,-5.6
NEIPZWZQHXCYDV-RFZPGFLSSA-N,-4.1,-4.5,-4.3
VDPYMEBVIDZKMD-UHFFFAOYSA-N,-7.1,-7.5,-6.9
UJRRDDHEMZLWFI-UHFFFAOYSA-N,-5.4,-5.4,-5.6
MVOUIYUWRXPNKD-UHFFFAOYSA-N,-5.7,-5.5,-6.5
OTGAHJPFNKQGAE-UHFFFAOYSA-N,-5.3,-5.7,-6.0
OBKXEAXTFZPCHS-UHFFFAOYSA-N,-5.5,-5.9,-6.2
CGYQGGSMYNXXIV-IBGZPJMESA-N,-7.3,-7.3,-7.6
PTBKFATYSVLSSD-UHFFFAOYSA-N,-5.1,-5.8,-5.5
SQQCWHCJRWYRLB-GCDIXUMDSA-N,-7.3,-8.4,-8.0
YEJZJVJJPVZXGX-MRXNPFEDSA-N,-6.4,-6.0,-7.3
XQLWNAFCTODIRK-MUUNZHRXSA-N,-7.1,-7.1,-6.8
RRAFCDWBNXTKKO-UHFFFAOYSA-N,-5.3,-6.0,-5.9
NCEXYHBECQHGNR-QZQOTICOSA-N,-8.3,-8.4,-9.2
KPSRODZRAIWAKH-JTQLQIEISA-N,-6.4,-6.9,-6.7
NOPFSRXAKWQILS-UHFFFAOYSA-N,-4.4,-5.2,-5.7
WQDZHQZKJMNOAY-KRWDZBQOSA-N,-6.7,-6.9,-6.7
OJYGBLRPYBAHRT-IPQSZEQASA-N,-6.2,-6.1,-5.8
DJQOOSBJCLSSEY-UHFFFAOYSA-N,-5.2,-5.8,-5.5
IGISNRIWPJVXDB-VIFPVBQESA-N,-5.5,-5.9,-6.5
XDXDZDZNSLXDNA-TZNDIEGXSA-N,-9.5,-9.0,-9.9
DUDKAZCAISNGQN-FQEVSTJZSA-N,-6.9,-7.0,-8.7
QHJOIAXHOQIPJT-UHFFFAOYSA-N,-6.6,-6.3,-6.6
AURFZBICLPNKBZ-YZRLXODZSA-N,-7.7,-7.7,-8.2
