ligand,energy,binding score
NNJVILVZKWQKPM-UHFFFAOYSA-N,-7.0,14538.47
BEJNERDRQOWKJM-UHFFFAOYSA-N,-6.4,23937.75
QCDYQQDYXPDABM-UHFFFAOYSA-N,-5.7,41239.31
SNPLKNRPJHDVJA-ZETCQYMHSA-N,-6.3,27078.37
ROSXARVHJNYYDO-UHFFFAOYSA-N,-6.1,9189.63
XQTARQNQIVVBRX-UHFFFAOYSA-N,-8.3,9216.09
VOBHXZCDAVEXEY-JSGCOSHPSA-N,-6.6,28419.22
PYSOHOOUXFWCFF-UHFFFAOYSA-N,-8.5,28571.5
QZIQORUGXBPDSU-UHFFFAOYSA-N,-8.0,27661.44
DDDQVDIPBFGVIG-UHFFFAOYSA-N,-8.9,33100.66
UMILHIMHKXVDGH-RYUDHWBXSA-N,-5.4,23420.7
NMAOJFAMEOVURT-BBWFWOEESA-N,-6.1,28075.3
DYUQAZSOFZSPHD-VIFPVBQESA-N,-5.7,29469.68
ZBVKEHDGYSLCCC-SFHVURJKSA-N,-8.6,24803.98
SIXLXDIJGIWWFU-UHFFFAOYSA-N,-7.9,29270.29
AHFWIQIYAXSLBA-RQXATKFSSA-N,-10.0,31901.36
OSJJYEUEJRVVOD-UHFFFAOYSA-N,-9.6,31473.33
GNZCRYWFWKFIDM-UHFFFAOYSA-N,-8.8,31233.31
CORFWQGVBFFZHF-CKWBHOIGSA-N,-6.6,25392.85
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,-9.8,20817.92
DB06243,-5.7,26434.34
RLISWLLILOTWGG-UHFFFAOYSA-N,-6.9,29643.15
IRQOBYXMACIFKD-UHFFFAOYSA-N,-6.4,25937.58
DHKKONBXGAAFTB-UHFFFAOYSA-N,-9.5,13691.47
DGMKFQYCZXERLX-OAHLLOKOSA-N,-7.4,28582.28
SPPTWHFVYKCNNK-FQEVSTJZSA-N,-9.2,33307.52
FDKXTQMXEQVLRF-ZHACJKMWSA-N,-6.6,26951.98
BMKDZUISNHGIBY-ZETCQYMHSA-N,-8.0,22779.22
AAQOQKQBGPPFNS-UHFFFAOYSA-N,-5.4,33341.9
NMWQEPCLNXHPDX-UHFFFAOYSA-N,-7.8,37766.4
