ligand,energy,binding score
BEJNERDRQOWKJM-UHFFFAOYSA-N,-6.4,23501.44
RLISWLLILOTWGG-UHFFFAOYSA-N,-6.8,38803.81
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,-9.7,23350.92
DHKKONBXGAAFTB-UHFFFAOYSA-N,-9.5,15125.52
DGMKFQYCZXERLX-OAHLLOKOSA-N,-7.4,41180.42
NMAOJFAMEOVURT-BBWFWOEESA-N,-7.1,36120.02
ZBVKEHDGYSLCCC-SFHVURJKSA-N,-8.7,30858.54
VOBHXZCDAVEXEY-JSGCOSHPSA-N,-6.6,38417.11
ROSXARVHJNYYDO-UHFFFAOYSA-N,-6.0,14770.95
AHFWIQIYAXSLBA-RQXATKFSSA-N,-9.8,47645.43
QZIQORUGXBPDSU-UHFFFAOYSA-N,-8.1,34960.24
CORFWQGVBFFZHF-CKWBHOIGSA-N,-6.6,31744.55
SIXLXDIJGIWWFU-UHFFFAOYSA-N,-7.7,36934.74
NNJVILVZKWQKPM-UHFFFAOYSA-N,-6.0,18691.91
GNZCRYWFWKFIDM-UHFFFAOYSA-N,-8.7,42248.19
SNPLKNRPJHDVJA-ZETCQYMHSA-N,-6.6,36619.08
DDDQVDIPBFGVIG-UHFFFAOYSA-N,-8.9,43721.75
QCDYQQDYXPDABM-UHFFFAOYSA-N,-5.7,42594.94
OSJJYEUEJRVVOD-UHFFFAOYSA-N,-9.6,41795.53
UMILHIMHKXVDGH-RYUDHWBXSA-N,-5.5,31508.99
IRQOBYXMACIFKD-UHFFFAOYSA-N,-6.4,33286.49
PYSOHOOUXFWCFF-UHFFFAOYSA-N,-8.5,42131.8
XQTARQNQIVVBRX-UHFFFAOYSA-N,-7.8,15482.46
DYUQAZSOFZSPHD-VIFPVBQESA-N,-5.7,27354.12
DB06243,-5.7,31357.38
JGTJANXYSNVLMQ-GOSISDBHSA-N,-7.1,42257.31
LXBIFEVIBLOUGU-DPYQTVNSSA-N,-6.5,37152.39
BMKDZUISNHGIBY-ZETCQYMHSA-N,-8.1,23912.15
AURFZBICLPNKBZ-SYBPFIFISA-N,-9.2,13965.76
MIRHIEAGDGUXKL-UHFFFAOYSA-N,-6.7,39664.74
AAQOQKQBGPPFNS-UHFFFAOYSA-N,-5.7,43415.91
XOXHILFPRYWFOD-UHFFFAOYSA-N,-8.4,21515.81
SPPTWHFVYKCNNK-FQEVSTJZSA-N,-9.3,43252.63
UHWVSEOVJBQKBE-UHFFFAOYSA-N,-6.7,38438.64
BMKDZUISNHGIBY-SSDOTTSWSA-N,-8.0,24451.48
RPVGLMKJGQMQSN-UHFFFAOYSA-N,-7.0,28753.32
KJVQYDYPDFFJMP-UHFFFAOYSA-N,-7.2,40725.77
OJCPSBCUMRIPFL-HNNXBMFYSA-N,-6.0,25106.6
KTGWBBOJAGDSHN-UHFFFAOYSA-N,-6.7,26617.9
RNLQIBCLLYYYFJ-UHFFFAOYSA-N,-7.4,14734.43
WUFWNWSUSBGBSH-UHFFFAOYSA-N,-6.5,36675.7
FDKXTQMXEQVLRF-ZHACJKMWSA-N,-6.4,26030.7
NMWQEPCLNXHPDX-UHFFFAOYSA-N,-8.3,46373.87
MTCFGRXMJLQNBG-REOHCLBHSA-N,-5.2,42362.81
NIVZHWNOUVJHKV-UHFFFAOYSA-N,-6.1,23873.29
SESFRYSPDFLNCH-UHFFFAOYSA-N,-7.0,29793.29
OJLHWPALWODJPQ-QNWVGRARSA-N,-8.0,36472.11
QCTBMLYLENLHLA-UHFFFAOYSA-N,-6.0,43668.81
ABJKIHHNDMEBNA-UHFFFAOYSA-N,-6.7,33731.96
OINXXHYENYVYPB-UHFFFAOYSA-N,-7.5,39385.12
RRAFCDWBNXTKKO-UHFFFAOYSA-N,-6.4,32899.36
GXRZIMHKGDIBEW-UHFFFAOYSA-N,-6.4,38443.48
KPSRODZRAIWAKH-JTQLQIEISA-N,-7.7,31951.54
SQQCWHCJRWYRLB-GCDIXUMDSA-N,-9.6,41775.59
OMHBPUNFVFNHJK-UHFFFAOYSA-P,-8.5,36518.55
XDXDZDZNSLXDNA-TZNDIEGXSA-N,-10.7,37967.55
WQDZHQZKJMNOAY-KRWDZBQOSA-N,-6.8,34510.22
PTBKFATYSVLSSD-UHFFFAOYSA-N,-6.7,47551.26
XQLWNAFCTODIRK-MUUNZHRXSA-N,-7.7,27257.38
OTGAHJPFNKQGAE-UHFFFAOYSA-N,-6.2,41686.14
NCEXYHBECQHGNR-QZQOTICOSA-N,-9.4,26821.64
MVOUIYUWRXPNKD-UHFFFAOYSA-N,-6.9,22357.55
VDPYMEBVIDZKMD-UHFFFAOYSA-N,-8.6,35446.9
NEIPZWZQHXCYDV-RFZPGFLSSA-N,-5.3,32813.62
UJRRDDHEMZLWFI-UHFFFAOYSA-N,-6.7,35704.98
DJQOOSBJCLSSEY-UHFFFAOYSA-N,-6.4,27922.57
CGYQGGSMYNXXIV-IBGZPJMESA-N,-7.6,47269.07
OJYGBLRPYBAHRT-IPQSZEQASA-N,-7.2,37731.16
DUDKAZCAISNGQN-FQEVSTJZSA-N,-8.3,25427.87
NOPFSRXAKWQILS-UHFFFAOYSA-N,-6.1,41088.95
IGISNRIWPJVXDB-VIFPVBQESA-N,-6.5,28730.3
QHJOIAXHOQIPJT-UHFFFAOYSA-N,-6.5,34528.75
UYXHCVFXDBNRQW-UHFFFAOYSA-N,-6.5,23457.59
AURFZBICLPNKBZ-YZRLXODZSA-N,-9.1,14983.29
ULSIYEODSMZIPX-MRVPVSSYSA-N,-5.8,24815.74
OBKXEAXTFZPCHS-UHFFFAOYSA-N,-6.1,40089.22
YEJZJVJJPVZXGX-MRXNPFEDSA-N,-6.7,22824.76
HJZKOAYDRQLPME-UHFFFAOYSA-N,-6.4,45001.48
HFXKQSZZZPGLKQ-MRVPVSSYSA-N,-5.2,35873.66
ZXVNMYWKKDOREA-UHFFFAOYSA-N,-7.7,37906.59
