ligand,energy,binding score
DYUQAZSOFZSPHD-VIFPVBQESA-N,-5.8,42245.11
OSJJYEUEJRVVOD-UHFFFAOYSA-N,-8.6,65882.05
DDDQVDIPBFGVIG-UHFFFAOYSA-N,-8.0,70204.17
SNPLKNRPJHDVJA-ZETCQYMHSA-N,-5.4,63890.16
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,-8.9,40656.13
GNZCRYWFWKFIDM-UHFFFAOYSA-N,-8.0,60496.01
DB06243,-5.4,53056.93
NMAOJFAMEOVURT-BBWFWOEESA-N,-6.7,52404.87
AHFWIQIYAXSLBA-RQXATKFSSA-N,-8.9,59880.82
DGMKFQYCZXERLX-OAHLLOKOSA-N,-7.5,68076.81
DHKKONBXGAAFTB-UHFFFAOYSA-N,-9.2,66127.25
BEJNERDRQOWKJM-UHFFFAOYSA-N,-5.4,36122.19
ROSXARVHJNYYDO-UHFFFAOYSA-N,-5.7,66743.66
UMILHIMHKXVDGH-RYUDHWBXSA-N,-4.8,59602.62
VOBHXZCDAVEXEY-JSGCOSHPSA-N,-6.7,72734.17
PYSOHOOUXFWCFF-UHFFFAOYSA-N,-8.2,70526.59
RLISWLLILOTWGG-UHFFFAOYSA-N,-6.7,81713.32
QZIQORUGXBPDSU-UHFFFAOYSA-N,-7.9,57697.65
CORFWQGVBFFZHF-CKWBHOIGSA-N,-7.2,80950.9
IRQOBYXMACIFKD-UHFFFAOYSA-N,-6.8,82922.6
XQTARQNQIVVBRX-UHFFFAOYSA-N,-7.7,53087.28
ZBVKEHDGYSLCCC-SFHVURJKSA-N,-7.3,41482.94
NNJVILVZKWQKPM-UHFFFAOYSA-N,-6.4,72838.82
QCDYQQDYXPDABM-UHFFFAOYSA-N,-5.3,75784.95
SIXLXDIJGIWWFU-UHFFFAOYSA-N,-7.6,47326.35
KTGWBBOJAGDSHN-UHFFFAOYSA-N,-6.6,75308.98
JGTJANXYSNVLMQ-GOSISDBHSA-N,-6.7,72894.92
BMKDZUISNHGIBY-ZETCQYMHSA-N,-7.5,70032.61
SPPTWHFVYKCNNK-FQEVSTJZSA-N,-9.1,57327.02
RPVGLMKJGQMQSN-UHFFFAOYSA-N,-6.8,45027.89
QCTBMLYLENLHLA-UHFFFAOYSA-N,-6.0,69657.8
SESFRYSPDFLNCH-UHFFFAOYSA-N,-7.5,49348.92
RNLQIBCLLYYYFJ-UHFFFAOYSA-N,-6.6,67795.99
OINXXHYENYVYPB-UHFFFAOYSA-N,-6.4,74990.67
OJLHWPALWODJPQ-QNWVGRARSA-N,-7.4,45676.31
OJCPSBCUMRIPFL-HNNXBMFYSA-N,-6.2,48494.09
AURFZBICLPNKBZ-SYBPFIFISA-N,-8.6,48589.24
WUFWNWSUSBGBSH-UHFFFAOYSA-N,-5.5,48810.54
MIRHIEAGDGUXKL-UHFFFAOYSA-N,-6.4,75305.28
UHWVSEOVJBQKBE-UHFFFAOYSA-N,-6.1,82378.18
XOXHILFPRYWFOD-UHFFFAOYSA-N,-7.9,44404.87
NIVZHWNOUVJHKV-UHFFFAOYSA-N,-6.2,63684.47
BMKDZUISNHGIBY-SSDOTTSWSA-N,-7.4,71450.7
MTCFGRXMJLQNBG-REOHCLBHSA-N,-4.1,54508.55
FDKXTQMXEQVLRF-ZHACJKMWSA-N,-5.9,73644.12
ABJKIHHNDMEBNA-UHFFFAOYSA-N,-6.8,65203.76
KJVQYDYPDFFJMP-UHFFFAOYSA-N,-7.5,67742.69
AAQOQKQBGPPFNS-UHFFFAOYSA-N,-5.8,58028.28
NMWQEPCLNXHPDX-UHFFFAOYSA-N,-7.8,69068.11
LXBIFEVIBLOUGU-DPYQTVNSSA-N,-5.4,62867.95
UYXHCVFXDBNRQW-UHFFFAOYSA-N,-6.0,77141.33
CGYQGGSMYNXXIV-IBGZPJMESA-N,-7.4,75607.1
IGISNRIWPJVXDB-VIFPVBQESA-N,-6.4,47612.46
XQLWNAFCTODIRK-MUUNZHRXSA-N,-7.2,46667.25
NEIPZWZQHXCYDV-RFZPGFLSSA-N,-4.4,50459.98
NCEXYHBECQHGNR-QZQOTICOSA-N,-9.4,62542.16
KPSRODZRAIWAKH-JTQLQIEISA-N,-6.9,79282.33
MVOUIYUWRXPNKD-UHFFFAOYSA-N,-6.5,66670.61
YEJZJVJJPVZXGX-MRXNPFEDSA-N,-7.3,78115.53
OJYGBLRPYBAHRT-IPQSZEQASA-N,-6.2,48690.82
NOPFSRXAKWQILS-UHFFFAOYSA-N,-5.5,59941.83
RRAFCDWBNXTKKO-UHFFFAOYSA-N,-5.9,64093.59
GXRZIMHKGDIBEW-UHFFFAOYSA-N,-5.9,69630.4
QHJOIAXHOQIPJT-UHFFFAOYSA-N,-6.6,65980.18
DJQOOSBJCLSSEY-UHFFFAOYSA-N,-5.7,89069.78
OMHBPUNFVFNHJK-UHFFFAOYSA-P,-7.7,72779.1
DUDKAZCAISNGQN-FQEVSTJZSA-N,-8.7,48455.68
VDPYMEBVIDZKMD-UHFFFAOYSA-N,-7.2,89420.85
OBKXEAXTFZPCHS-UHFFFAOYSA-N,-6.1,54457.92
PTBKFATYSVLSSD-UHFFFAOYSA-N,-5.7,71591.69
ULSIYEODSMZIPX-MRVPVSSYSA-N,-5.6,41716.82
OTGAHJPFNKQGAE-UHFFFAOYSA-N,-6.0,52495.81
AURFZBICLPNKBZ-YZRLXODZSA-N,-8.2,49838.56
WQDZHQZKJMNOAY-KRWDZBQOSA-N,-6.9,74781.5
