ligand,energy,binding score
CORFWQGVBFFZHF-CKWBHOIGSA-N,-6.4,28343.79
NMAOJFAMEOVURT-BBWFWOEESA-N,-6.9,31956.08
UMILHIMHKXVDGH-RYUDHWBXSA-N,-5.9,40326.14
DHKKONBXGAAFTB-UHFFFAOYSA-N,-7.4,11170.97
XQTARQNQIVVBRX-UHFFFAOYSA-N,-8.5,8943.97
BEJNERDRQOWKJM-UHFFFAOYSA-N,-6.0,28740.76
VOBHXZCDAVEXEY-JSGCOSHPSA-N,-6.5,33856.26
SIXLXDIJGIWWFU-UHFFFAOYSA-N,-7.9,36396.03
QCDYQQDYXPDABM-UHFFFAOYSA-N,-5.5,49956.15
OSJJYEUEJRVVOD-UHFFFAOYSA-N,-9.5,28308.42
RLISWLLILOTWGG-UHFFFAOYSA-N,-7.0,33718.35
SNPLKNRPJHDVJA-ZETCQYMHSA-N,-5.8,38895.13
DB06243,-5.5,37221.11
QZIQORUGXBPDSU-UHFFFAOYSA-N,-6.7,32554.95
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,-10.2,30043.71
ROSXARVHJNYYDO-UHFFFAOYSA-N,-6.2,6489.97
IRQOBYXMACIFKD-UHFFFAOYSA-N,-6.1,29805.24
NNJVILVZKWQKPM-UHFFFAOYSA-N,-6.9,15078.54
DGMKFQYCZXERLX-OAHLLOKOSA-N,-6.8,42563.77
ZBVKEHDGYSLCCC-SFHVURJKSA-N,-7.1,30543.19
DYUQAZSOFZSPHD-VIFPVBQESA-N,-5.6,32376.85
GNZCRYWFWKFIDM-UHFFFAOYSA-N,-8.6,40829.03
DDDQVDIPBFGVIG-UHFFFAOYSA-N,-9.4,36371.72
AHFWIQIYAXSLBA-RQXATKFSSA-N,-9.6,35592.18
PYSOHOOUXFWCFF-UHFFFAOYSA-N,-8.4,31262.76
KJVQYDYPDFFJMP-UHFFFAOYSA-N,-7.5,36709.53
NIVZHWNOUVJHKV-UHFFFAOYSA-N,-6.5,39294.42
BMKDZUISNHGIBY-ZETCQYMHSA-N,-8.2,17409.29
UHWVSEOVJBQKBE-UHFFFAOYSA-N,-6.6,33405.93
SESFRYSPDFLNCH-UHFFFAOYSA-N,-7.2,35971.98
BMKDZUISNHGIBY-SSDOTTSWSA-N,-8.4,18201.27
RNLQIBCLLYYYFJ-UHFFFAOYSA-N,-6.8,16030.46
AAQOQKQBGPPFNS-UHFFFAOYSA-N,-4.9,24686.49
WUFWNWSUSBGBSH-UHFFFAOYSA-N,-6.1,34413.12
KTGWBBOJAGDSHN-UHFFFAOYSA-N,-6.6,34684.95
OJCPSBCUMRIPFL-HNNXBMFYSA-N,-6.5,32285.18
JGTJANXYSNVLMQ-GOSISDBHSA-N,-6.9,32284.18
SPPTWHFVYKCNNK-FQEVSTJZSA-N,-10.0,37967.51
MIRHIEAGDGUXKL-UHFFFAOYSA-N,-6.1,52225.75
MTCFGRXMJLQNBG-REOHCLBHSA-N,-4.4,32696.45
FDKXTQMXEQVLRF-ZHACJKMWSA-N,-6.9,29020.72
XOXHILFPRYWFOD-UHFFFAOYSA-N,-8.2,32770.02
AURFZBICLPNKBZ-SYBPFIFISA-N,-7.0,34665.24
OJLHWPALWODJPQ-QNWVGRARSA-N,-6.1,33350.4
ABJKIHHNDMEBNA-UHFFFAOYSA-N,-7.1,47129.48
LXBIFEVIBLOUGU-DPYQTVNSSA-N,-6.0,27612.85
QCTBMLYLENLHLA-UHFFFAOYSA-N,-6.0,41813.34
NMWQEPCLNXHPDX-UHFFFAOYSA-N,-8.2,41372.87
OINXXHYENYVYPB-UHFFFAOYSA-N,-6.7,44241.55
RPVGLMKJGQMQSN-UHFFFAOYSA-N,-7.0,34681.43
XQLWNAFCTODIRK-MUUNZHRXSA-N,-7.0,28388.02
NOPFSRXAKWQILS-UHFFFAOYSA-N,-5.4,49295.0
UYXHCVFXDBNRQW-UHFFFAOYSA-N,-6.8,20777.28
QHJOIAXHOQIPJT-UHFFFAOYSA-N,-5.4,25433.21
OTGAHJPFNKQGAE-UHFFFAOYSA-N,-5.9,35429.29
RRAFCDWBNXTKKO-UHFFFAOYSA-N,-6.0,40056.58
GXRZIMHKGDIBEW-UHFFFAOYSA-N,-6.3,42173.11
OJYGBLRPYBAHRT-IPQSZEQASA-N,-7.1,34840.14
UJRRDDHEMZLWFI-UHFFFAOYSA-N,-6.4,42516.81
WQDZHQZKJMNOAY-KRWDZBQOSA-N,-6.8,33078.68
PTBKFATYSVLSSD-UHFFFAOYSA-N,-6.2,34397.19
HJZKOAYDRQLPME-UHFFFAOYSA-N,-6.0,39027.86
CGYQGGSMYNXXIV-IBGZPJMESA-N,-7.9,39689.66
DUDKAZCAISNGQN-FQEVSTJZSA-N,-7.3,33156.07
MVOUIYUWRXPNKD-UHFFFAOYSA-N,-6.6,15862.55
DJQOOSBJCLSSEY-UHFFFAOYSA-N,-6.1,22170.52
NCEXYHBECQHGNR-QZQOTICOSA-N,-9.6,39186.71
XDXDZDZNSLXDNA-TZNDIEGXSA-N,-7.5,34806.45
ULSIYEODSMZIPX-MRVPVSSYSA-N,-5.4,35198.98
OBKXEAXTFZPCHS-UHFFFAOYSA-N,-6.1,37266.45
KPSRODZRAIWAKH-JTQLQIEISA-N,-7.2,23443.77
VDPYMEBVIDZKMD-UHFFFAOYSA-N,-9.1,24909.74
NEIPZWZQHXCYDV-RFZPGFLSSA-N,-5.1,45812.69
IGISNRIWPJVXDB-VIFPVBQESA-N,-6.6,32775.48
AURFZBICLPNKBZ-YZRLXODZSA-N,-7.4,35234.0
YEJZJVJJPVZXGX-MRXNPFEDSA-N,-6.7,15229.55
UBAJTZKNDCEGKL-UHFFFAOYSA-N,-8.5,28152.39
PXBVEXGRHZFEOF-QGZVFWFLSA-N,-7.6,36976.99
FTCYIGBVOHNHCD-UHFFFAOYSA-N,-5.3,54103.15
XREUEWVEMYWFFA-CSKJXFQVSA-N,-7.9,29676.49
STLZCUYBVPNYED-UHFFFAOYSA-N,-6.4,32063.04
WFPIAZLQTJBIFN-UHFFFAOYSA-N,-9.5,27642.75
YAHRDLICUYEDAU-RNFRBKRXSA-N,-4.2,40198.78
