ligand,energy,binding score
CORFWQGVBFFZHF-CKWBHOIGSA-N,-7.6,37529.07
DYUQAZSOFZSPHD-VIFPVBQESA-N,-5.7,28105.54
DHKKONBXGAAFTB-UHFFFAOYSA-N,-9.5,17727.4
IRQOBYXMACIFKD-UHFFFAOYSA-N,-6.4,35563.58
QZIQORUGXBPDSU-UHFFFAOYSA-N,-8.0,39190.93
ROSXARVHJNYYDO-UHFFFAOYSA-N,-6.3,17625.72
XQTARQNQIVVBRX-UHFFFAOYSA-N,-8.2,18135.38
SNPLKNRPJHDVJA-ZETCQYMHSA-N,-6.8,41403.33
AHFWIQIYAXSLBA-RQXATKFSSA-N,-10.0,53329.69
VOBHXZCDAVEXEY-JSGCOSHPSA-N,-6.7,44960.49
ZBVKEHDGYSLCCC-SFHVURJKSA-N,-8.6,35978.27
UMILHIMHKXVDGH-RYUDHWBXSA-N,-5.7,37213.59
GNZCRYWFWKFIDM-UHFFFAOYSA-N,-8.0,45141.12
DB06243,-5.7,37688.14
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,-9.8,28285.51
OSJJYEUEJRVVOD-UHFFFAOYSA-N,-9.5,45720.64
NMAOJFAMEOVURT-BBWFWOEESA-N,-6.7,40645.95
BEJNERDRQOWKJM-UHFFFAOYSA-N,-6.4,23805.79
DDDQVDIPBFGVIG-UHFFFAOYSA-N,-8.9,49671.23
PYSOHOOUXFWCFF-UHFFFAOYSA-N,-8.8,47304.33
QCDYQQDYXPDABM-UHFFFAOYSA-N,-5.7,46254.58
RLISWLLILOTWGG-UHFFFAOYSA-N,-6.8,44181.54
NNJVILVZKWQKPM-UHFFFAOYSA-N,-6.0,21712.95
DGMKFQYCZXERLX-OAHLLOKOSA-N,-7.4,50327.48
SIXLXDIJGIWWFU-UHFFFAOYSA-N,-8.7,42909.82
KJVQYDYPDFFJMP-UHFFFAOYSA-N,-7.2,47575.18
NIVZHWNOUVJHKV-UHFFFAOYSA-N,-6.1,26407.48
AAQOQKQBGPPFNS-UHFFFAOYSA-N,-5.3,43851.63
BMKDZUISNHGIBY-ZETCQYMHSA-N,-8.0,26609.04
JGTJANXYSNVLMQ-GOSISDBHSA-N,-6.8,47877.75
ABJKIHHNDMEBNA-UHFFFAOYSA-N,-6.7,41283.86
RNLQIBCLLYYYFJ-UHFFFAOYSA-N,-7.4,19276.3
NMWQEPCLNXHPDX-UHFFFAOYSA-N,-7.8,52234.75
RPVGLMKJGQMQSN-UHFFFAOYSA-N,-7.0,27841.51
UHWVSEOVJBQKBE-UHFFFAOYSA-N,-6.7,44299.81
QCTBMLYLENLHLA-UHFFFAOYSA-N,-6.0,47774.74
SESFRYSPDFLNCH-UHFFFAOYSA-N,-7.1,30936.57
KTGWBBOJAGDSHN-UHFFFAOYSA-N,-6.7,34212.95
OJLHWPALWODJPQ-QNWVGRARSA-N,-7.7,40991.94
FDKXTQMXEQVLRF-ZHACJKMWSA-N,-6.7,27375.75
MTCFGRXMJLQNBG-REOHCLBHSA-N,-5.2,47713.59
BMKDZUISNHGIBY-SSDOTTSWSA-N,-8.1,27394.77
OJCPSBCUMRIPFL-HNNXBMFYSA-N,-6.0,29039.59
XOXHILFPRYWFOD-UHFFFAOYSA-N,-8.3,28409.31
LXBIFEVIBLOUGU-DPYQTVNSSA-N,-6.5,41700.27
OINXXHYENYVYPB-UHFFFAOYSA-N,-7.5,44890.94
SPPTWHFVYKCNNK-FQEVSTJZSA-N,-9.9,48888.56
WUFWNWSUSBGBSH-UHFFFAOYSA-N,-6.5,41936.27
MIRHIEAGDGUXKL-UHFFFAOYSA-N,-6.5,48386.48
AURFZBICLPNKBZ-SYBPFIFISA-N,-9.3,23638.89
OBKXEAXTFZPCHS-UHFFFAOYSA-N,-6.3,44851.7
DUDKAZCAISNGQN-FQEVSTJZSA-N,-8.3,32542.15
UJRRDDHEMZLWFI-UHFFFAOYSA-N,-6.8,43667.75
AURFZBICLPNKBZ-YZRLXODZSA-N,-9.1,24772.34
XDXDZDZNSLXDNA-TZNDIEGXSA-N,-10.7,42907.52
OTGAHJPFNKQGAE-UHFFFAOYSA-N,-6.2,45729.19
SQQCWHCJRWYRLB-GCDIXUMDSA-N,-9.3,44680.26
QHJOIAXHOQIPJT-UHFFFAOYSA-N,-6.6,39097.97
HJZKOAYDRQLPME-UHFFFAOYSA-N,-6.2,43940.2
OMHBPUNFVFNHJK-UHFFFAOYSA-P,-8.4,45456.05
PTBKFATYSVLSSD-UHFFFAOYSA-N,-6.7,52354.31
DJQOOSBJCLSSEY-UHFFFAOYSA-N,-6.3,33360.31
YEJZJVJJPVZXGX-MRXNPFEDSA-N,-6.7,25987.55
RRAFCDWBNXTKKO-UHFFFAOYSA-N,-6.4,36675.17
NOPFSRXAKWQILS-UHFFFAOYSA-N,-6.1,45428.39
GXRZIMHKGDIBEW-UHFFFAOYSA-N,-6.6,41317.58
KPSRODZRAIWAKH-JTQLQIEISA-N,-7.7,35023.42
CGYQGGSMYNXXIV-IBGZPJMESA-N,-7.3,52525.32
XQLWNAFCTODIRK-MUUNZHRXSA-N,-8.9,33565.73
UYXHCVFXDBNRQW-UHFFFAOYSA-N,-6.8,25652.59
NCEXYHBECQHGNR-QZQOTICOSA-N,-9.4,35553.08
VDPYMEBVIDZKMD-UHFFFAOYSA-N,-8.5,38388.99
ULSIYEODSMZIPX-MRVPVSSYSA-N,-5.8,26402.71
IGISNRIWPJVXDB-VIFPVBQESA-N,-6.4,35189.59
WQDZHQZKJMNOAY-KRWDZBQOSA-N,-6.6,37847.2
MVOUIYUWRXPNKD-UHFFFAOYSA-N,-6.9,26169.63
NEIPZWZQHXCYDV-RFZPGFLSSA-N,-5.4,35058.39
OJYGBLRPYBAHRT-IPQSZEQASA-N,-7.2,43127.28
XIHXRRMCNSMUET-UHFFFAOYSA-N,-6.9,28986.09
ZXVNMYWKKDOREA-UHFFFAOYSA-N,-7.5,41305.42
OMOMUFTZPTXCHP-UHFFFAOYSA-N,-5.1,39879.98
IBGBGRVKPALMCQ-UHFFFAOYSA-N,-6.2,29575.2
NZUPCNDJBJXXRF-LURJTMIESA-O,-5.4,28549.28
YAHRDLICUYEDAU-RNFRBKRXSA-N,-4.4,35309.82
WFPIAZLQTJBIFN-UHFFFAOYSA-N,-9.1,49256.95
STLZCUYBVPNYED-UHFFFAOYSA-N,-6.6,35901.44
CREICILGVGNQBH-UHFFFAOYSA-N,-8.6,50893.6
PXBVEXGRHZFEOF-QGZVFWFLSA-N,-9.0,47192.93
HFXKQSZZZPGLKQ-MRVPVSSYSA-N,-5.1,41652.09
WREGKURFCTUGRC-POYBYMJQSA-N,-7.3,33497.42
KJAMZCVTJDTESW-UHFFFAOYSA-N,-9.3,37485.84
UBAJTZKNDCEGKL-UHFFFAOYSA-N,-11.5,41338.04
QPCDCPDFJACHGM-UHFFFAOYSA-N,-7.5,46215.47
IQWCBYSUUOFOMF-QTLFRQQHSA-N,-6.9,58357.41
BKCXTZWLBPOGRU-XQHKEYJVSA-N,-8.3,50520.5
FTCYIGBVOHNHCD-UHFFFAOYSA-N,-5.4,52186.8
FYJJXENSONZJRG-UHFFFAOYSA-N,-7.0,33758.17
AFSYRVDDZGJTIL-OCAPTIKFSA-N,-5.3,51477.03
XREUEWVEMYWFFA-CSKJXFQVSA-N,-10.7,36736.37
SAZUGELZHZOXHB-UHFFFAOYSA-N,-6.5,32384.43
LCFBCKSQWVQIBY-UYAOXDASSA-N,-8.1,27802.65
XQCGNURMLWFQJR-ZNDDOCHDSA-N,-10.6,33326.24
CUHVIMMYOGQXCV-NSHDSACASA-N,-6.7,42949.29
LDCRTTXIJACKKU-ONEGZZNKSA-N,-5.3,44781.37
WUBBRNOQWQTFEX-UHFFFAOYSA-N,-6.4,60748.46
FJCFFCXMEXZEIM-UHFFFAOYSA-N,-5.9,51559.51
DJUFPMUQJKWIJB-UHFFFAOYSA-N,-11.2,37113.54
WFPIAZLQTJBIFN-DVZOWYKESA-N,-9.2,49808.29
CYZWCBZIBJLKCV-OALRPVAKSA-N,-6.0,27098.33
KTOAWCPDBUCJED-UHFFFAOYSA-N,-7.6,41577.32
CNNRPFQICPFDPO-UHFFFAOYSA-N,-6.4,43410.85
FWTXWYXPXGKVJG-VIFPVBQESA-N,-6.5,41518.61
MITFXPHMIHQXPI-SECBINFHSA-N,-8.3,36679.34
OXLKOMYHDYVIDM-UHFFFAOYSA-N,-8.2,15309.36
IEJXVRYNEISIKR-UHFFFAOYSA-N,-6.4,43031.03
VSTNNAYSCJQCQI-ZLNRFVROSA-N,-9.3,45786.93
VFKZTMPDYBFSTM-GUCUJZIJSA-N,-6.3,41559.71
GFFGJBXGBJISGV-UHFFFAOYSA-N,-6.5,43051.4
LCQLHJZYVOQKHU-VKHMYHEASA-N,-6.5,52654.18
KINWYTAUPKOPCQ-YFKPBYRVSA-N,-5.6,34119.46
DBGIVFWFUFKIQN-VIFPVBQESA-N,-6.9,24227.44
STUWGJZDJHPWGZ-LBPRGKRZSA-N,-9.7,42067.87
YNBADRVTZLEFNH-UHFFFAOYSA-N,-5.6,46807.18
BXWNKGSJHAJOGX-UHFFFAOYSA-N,-5.3,47784.0
NZHGWWWHIYHZNX-CSKARUKUSA-N,-9.1,37453.87
CXOFVDLJLONNDW-UHFFFAOYSA-N,-8.3,38304.07
