ligand,energy,binding score
CORFWQGVBFFZHF-CKWBHOIGSA-N,-6.1,51248.87
XQTARQNQIVVBRX-UHFFFAOYSA-N,-6.3,33580.31
NMAOJFAMEOVURT-BBWFWOEESA-N,-5.6,40306.62
SNPLKNRPJHDVJA-ZETCQYMHSA-N,-4.9,59140.35
ROSXARVHJNYYDO-UHFFFAOYSA-N,-5.0,34308.08
DYUQAZSOFZSPHD-VIFPVBQESA-N,-5.4,41605.59
IRQOBYXMACIFKD-UHFFFAOYSA-N,-5.3,57870.57
QCDYQQDYXPDABM-UHFFFAOYSA-N,-4.5,62813.48
PYSOHOOUXFWCFF-UHFFFAOYSA-N,-7.5,51563.01
QZIQORUGXBPDSU-UHFFFAOYSA-N,-6.8,66787.38
DB06243,-4.6,40326.32
UMILHIMHKXVDGH-RYUDHWBXSA-N,-4.5,59940.82
ZBVKEHDGYSLCCC-SFHVURJKSA-N,-7.2,33749.4
RLISWLLILOTWGG-UHFFFAOYSA-N,-5.9,69523.4
OSJJYEUEJRVVOD-UHFFFAOYSA-N,-6.9,45621.8
BEJNERDRQOWKJM-UHFFFAOYSA-N,-4.8,34884.61
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,-7.9,28644.38
GNZCRYWFWKFIDM-UHFFFAOYSA-N,-7.1,64700.28
DHKKONBXGAAFTB-UHFFFAOYSA-N,-6.6,33253.32
NNJVILVZKWQKPM-UHFFFAOYSA-N,-5.7,37407.38
VOBHXZCDAVEXEY-JSGCOSHPSA-N,-5.8,47459.84
SIXLXDIJGIWWFU-UHFFFAOYSA-N,-6.2,38146.74
DDDQVDIPBFGVIG-UHFFFAOYSA-N,-6.9,48988.4
AHFWIQIYAXSLBA-RQXATKFSSA-N,-7.5,53103.13
DGMKFQYCZXERLX-OAHLLOKOSA-N,-6.4,53821.59
NMWQEPCLNXHPDX-UHFFFAOYSA-N,-6.8,59778.64
AURFZBICLPNKBZ-SYBPFIFISA-N,-6.8,27489.71
LXBIFEVIBLOUGU-DPYQTVNSSA-N,-4.9,62443.29
SPPTWHFVYKCNNK-FQEVSTJZSA-N,-7.6,50688.48
NIVZHWNOUVJHKV-UHFFFAOYSA-N,-5.9,64134.22
XOXHILFPRYWFOD-UHFFFAOYSA-N,-6.8,28996.43
UHWVSEOVJBQKBE-UHFFFAOYSA-N,-5.5,51841.24
JGTJANXYSNVLMQ-GOSISDBHSA-N,-5.6,53687.79
