ligand,energy,binding score
BEJNERDRQOWKJM-UHFFFAOYSA-N,-4.9,23137.84
RLISWLLILOTWGG-UHFFFAOYSA-N,-5.8,57673.36
DB06243,-4.7,30832.14
SNPLKNRPJHDVJA-ZETCQYMHSA-N,-4.7,45413.19
DDDQVDIPBFGVIG-UHFFFAOYSA-N,-7.2,59405.27
QCDYQQDYXPDABM-UHFFFAOYSA-N,-4.6,50175.15
NNJVILVZKWQKPM-UHFFFAOYSA-N,-5.3,46701.96
IRQOBYXMACIFKD-UHFFFAOYSA-N,-5.0,58152.91
DYUQAZSOFZSPHD-VIFPVBQESA-N,-5.1,26132.65
QZIQORUGXBPDSU-UHFFFAOYSA-N,-6.6,31502.7
ZBVKEHDGYSLCCC-SFHVURJKSA-N,-7.0,30695.64
DOBMPNYZJYQDGZ-UHFFFAOYSA-N,-7.7,23513.18
DHKKONBXGAAFTB-UHFFFAOYSA-N,-7.6,43512.68
NMAOJFAMEOVURT-BBWFWOEESA-N,-5.6,39397.7
DGMKFQYCZXERLX-OAHLLOKOSA-N,-6.0,36949.19
UMILHIMHKXVDGH-RYUDHWBXSA-N,-4.3,37186.31
XQTARQNQIVVBRX-UHFFFAOYSA-N,-7.6,52615.68
SIXLXDIJGIWWFU-UHFFFAOYSA-N,-7.1,36135.46
OSJJYEUEJRVVOD-UHFFFAOYSA-N,-7.1,57915.04
CORFWQGVBFFZHF-CKWBHOIGSA-N,-5.5,42765.25
AHFWIQIYAXSLBA-RQXATKFSSA-N,-7.4,43596.0
PYSOHOOUXFWCFF-UHFFFAOYSA-N,-6.9,56257.58
VOBHXZCDAVEXEY-JSGCOSHPSA-N,-5.4,50997.8
ROSXARVHJNYYDO-UHFFFAOYSA-N,-5.0,51890.25
GNZCRYWFWKFIDM-UHFFFAOYSA-N,-6.6,39668.14
RPVGLMKJGQMQSN-UHFFFAOYSA-N,-6.0,29462.43
MIRHIEAGDGUXKL-UHFFFAOYSA-N,-5.4,41431.86
OJLHWPALWODJPQ-QNWVGRARSA-N,-5.7,36185.18
SPPTWHFVYKCNNK-FQEVSTJZSA-N,-7.8,44514.36
ABJKIHHNDMEBNA-UHFFFAOYSA-N,-6.0,32679.63
NIVZHWNOUVJHKV-UHFFFAOYSA-N,-5.5,38133.88
NMWQEPCLNXHPDX-UHFFFAOYSA-N,-6.7,51654.88
FDKXTQMXEQVLRF-ZHACJKMWSA-N,-5.6,44953.01
UHWVSEOVJBQKBE-UHFFFAOYSA-N,-5.5,61632.97
AAQOQKQBGPPFNS-UHFFFAOYSA-N,-4.9,36710.66
AURFZBICLPNKBZ-SYBPFIFISA-N,-7.4,15140.95
XOXHILFPRYWFOD-UHFFFAOYSA-N,-6.5,22340.22
SESFRYSPDFLNCH-UHFFFAOYSA-N,-5.9,31882.23
MTCFGRXMJLQNBG-REOHCLBHSA-N,-4.3,41740.52
BMKDZUISNHGIBY-ZETCQYMHSA-N,-6.6,48979.84
KJVQYDYPDFFJMP-UHFFFAOYSA-N,-6.0,36444.8
RNLQIBCLLYYYFJ-UHFFFAOYSA-N,-5.8,48388.86
LXBIFEVIBLOUGU-DPYQTVNSSA-N,-4.8,40086.46
JGTJANXYSNVLMQ-GOSISDBHSA-N,-5.6,43765.99
WUFWNWSUSBGBSH-UHFFFAOYSA-N,-5.2,35390.61
BMKDZUISNHGIBY-SSDOTTSWSA-N,-6.5,49488.97
QCTBMLYLENLHLA-UHFFFAOYSA-N,-5.1,50371.29
OJCPSBCUMRIPFL-HNNXBMFYSA-N,-5.5,32317.28
KTGWBBOJAGDSHN-UHFFFAOYSA-N,-5.1,41194.85
OINXXHYENYVYPB-UHFFFAOYSA-N,-5.5,60674.17
KPSRODZRAIWAKH-JTQLQIEISA-N,-5.9,55173.8
DJQOOSBJCLSSEY-UHFFFAOYSA-N,-5.1,51364.55
NEIPZWZQHXCYDV-RFZPGFLSSA-N,-4.1,24529.47
OTGAHJPFNKQGAE-UHFFFAOYSA-N,-5.2,40177.92
