ligand,E1,E2,E3
URJQOOISAKEBKW-UHFFFAOYSA-N,-5.5,-5.5,-5.9
NJCBUSHGCBERSK-UHFFFAOYSA-N,-6.1,-5.9,-7.1
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.4,-6.6,-7.0
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.7,-3.6,-3.5
XBBDACCLCFWBSI-ZETCQYMHSA-N,-5.8,-6.2,-6.6
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-5.9,-6.5,-6.8
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.3,-7.3,-7.8
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-5.9,-5.9,-6.0
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.7,-6.2,-6.2
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-5.6,-5.5,-6.3
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-7.5,-7.4,-7.0
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.8,-6.9,-6.6
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.1,-7.0,-7.9
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-5.2,-5.5,-5.1
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-5.7,-6.1,-6.3
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.9,-6.5,-7.1
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-7.5,-6.7,-8.4
WVRIPRILKKOIQL-UHFFFAOYSA-N,-5.3,-5.5,-6.1
UGJWZYARKOFRDB-UHFFFAOYSA-O,-5.6,-6.2,-6.2
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.7,-6.1,-5.7
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-6.2,-6.0,-7.3
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-7.9,-8.3,-9.1
WHUUTDBJXJRKMK-VKHMYHEASA-N,-4.8,-4.9,-5.1
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-8.1,-8.3,-7.9
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.7,-6.3,-7.0
