ligand,E1,E2,E3
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-6.5,-5.8,-5.7
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.2,-7.7,-6.2
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.0,-5.9,-7.2
DQMZLTXERSFNPB-UHFFFAOYSA-N,-5.8,-4.8,-6.7
UGJWZYARKOFRDB-UHFFFAOYSA-O,-6.3,-6.3,-5.9
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-5.9,-6.6,-6.2
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-6.5,-5.4,-6.2
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-7.4,-6.9,-6.8
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.1,-6.7,-5.7
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.4,-6.7,-6.6
WHUUTDBJXJRKMK-VKHMYHEASA-N,-4.9,-5.5,-4.7
XBBDACCLCFWBSI-ZETCQYMHSA-N,-5.9,-6.6,-6.0
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.9,-3.9,-3.8
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-7.6,-6.9,-7.7
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-6.9,-7.9,-6.8
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-5.2,-5.7,-4.9
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-8.0,-7.2,-7.5
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-6.0,-6.5,-5.9
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.0,-6.6,-5.8
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-6.4,-7.4,-7.3
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-6.8,-7.2,-6.7
URJQOOISAKEBKW-UHFFFAOYSA-N,-5.5,-5.8,-5.8
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-6.1,-6.4,-5.6
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.1,-6.7,-6.7
NJCBUSHGCBERSK-UHFFFAOYSA-N,-6.7,-6.7,-6.4
