ligand,E1,E2,E3
URJQOOISAKEBKW-UHFFFAOYSA-N,-5.4,-5.5,-6.0
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-7.4,-7.4,-7.0
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.8,-6.9,-6.8
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-5.6,-5.4,-5.4
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.1,-6.6,-7.8
WHUUTDBJXJRKMK-VKHMYHEASA-N,-4.8,-4.9,-4.7
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.9,-6.5,-7.1
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-5.9,-6.7,-7.1
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-8.3,-8.3,-9.2
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.6,-6.3,-7.0
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-7.0,-7.2,-8.3
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-5.9,-5.9,-5.9
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-5.7,-6.1,-6.3
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.6,-6.3,-6.2
UGJWZYARKOFRDB-UHFFFAOYSA-O,-5.9,-6.1,-6.3
WVRIPRILKKOIQL-UHFFFAOYSA-N,-5.4,-5.5,-6.1
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-8.1,-8.6,-7.9
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-6.2,-5.8,-7.3
NJCBUSHGCBERSK-UHFFFAOYSA-N,-6.1,-5.7,-7.2
XBBDACCLCFWBSI-ZETCQYMHSA-N,-6.0,-6.1,-6.6
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.5,-7.5,-7.8
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-5.6,-5.7,-6.3
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.4,-6.6,-7.0
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.6,-3.6,-3.5
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.7,-6.1,-6.0
