ligand,E1,E2,E3
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.4,-3.8,-3.5
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-9.2,-7.8,-6.5
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-7.1,-5.8,-5.1
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-6.1,-5.3,-5.8
NJCBUSHGCBERSK-UHFFFAOYSA-N,-7.2,-5.7,-4.5
UGJWZYARKOFRDB-UHFFFAOYSA-O,-6.2,-5.2,-5.0
XBBDACCLCFWBSI-ZETCQYMHSA-N,-6.5,-5.2,-6.0
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-6.3,-5.6,-5.0
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-7.3,-5.9,-5.5
WHUUTDBJXJRKMK-VKHMYHEASA-N,-5.2,-5.2,-4.6
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.4,-5.6,-5.7
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.9,-5.3,-5.7
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.8,-6.1,-5.3
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.9,-4.9,-4.7
URJQOOISAKEBKW-UHFFFAOYSA-N,-6.2,-4.9,-5.0
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-5.3,-4.7,-4.4
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.5,-5.4,-5.8
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-8.3,-7.0,-6.6
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.8,-6.2,-6.0
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.8,-5.8,-5.6
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-7.9,-6.5,-5.5
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.3,-5.5,-5.7
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-6.7,-6.6,-5.6
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.8,-6.8,-5.9
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.7,-6.9,-6.2
