ligand,E1,E2,E3
VGLGVJVUHYTIIU-LLVKDONJSA-N,-6.3,-5.6,-5.5
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-6.1,-6.9,-4.4
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.3,-3.1,-5.6
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-6.9,-5.6,-5.2
WHUUTDBJXJRKMK-VKHMYHEASA-N,-4.9,-5.6,-4.4
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-6.4,-4.7,-6.1
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-7.3,-5.7,-6.2
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-6.3,-7.2,-5.5
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.5,-7.1,-4.7
XBBDACCLCFWBSI-ZETCQYMHSA-N,-5.9,-7.2,-4.7
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.3,-5.4,-5.1
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-5.6,-7.3,-5.1
NJCBUSHGCBERSK-UHFFFAOYSA-N,-6.9,-7.0,-5.5
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.7,-4.5,-3.5
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.5,-8.9,-5.3
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.4,-6.7,-5.9
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-5.8,-7.6,-5.0
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-6.3,-6.5,-6.9
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.4,-5.6,-5.5
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-6.1,-6.6,-5.2
UGJWZYARKOFRDB-UHFFFAOYSA-O,-7.0,-5.0,-4.2
URJQOOISAKEBKW-UHFFFAOYSA-N,-5.4,-6.3,-5.0
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.6,-7.2,-5.4
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.2,-7.1,-4.9
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-6.1,-6.7,-3.8
