ligand,E1,E2,E3
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-5.9,-5.3,-6.4
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-5.6,-4.8,-6.1
PYZRQGJRPPTADH-UHFFFAOYSA-N,-5.8,-5.2,-6.3
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-5.7,-5.2,-5.7
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.0,-4.6,-6.2
URJQOOISAKEBKW-UHFFFAOYSA-N,-5.4,-4.4,-5.5
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-6.3,-5.2,-6.9
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-4.9,-4.2,-4.6
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-7.5,-7.8,-8.6
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-6.6,-5.4,-7.6
WHUUTDBJXJRKMK-VKHMYHEASA-N,-5.4,-3.9,-5.1
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-5.1,-4.9,-5.4
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.0,-5.2,-6.3
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.5,-5.2,-7.0
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-5.8,-5.2,-6.2
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-7.5,-6.4,-8.2
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-6.5,-5.9,-7.0
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.8,-3.1,-3.7
UGJWZYARKOFRDB-UHFFFAOYSA-O,-5.4,-4.8,-5.6
NJCBUSHGCBERSK-UHFFFAOYSA-N,-6.3,-5.5,-6.6
XBBDACCLCFWBSI-ZETCQYMHSA-N,-5.6,-4.9,-5.9
WVRIPRILKKOIQL-UHFFFAOYSA-N,-5.4,-4.7,-5.6
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-6.0,-6.2,-6.7
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.1,-4.4,-5.7
VGLGVJVUHYTIIU-LLVKDONJSA-N,-5.8,-5.9,-6.4
