ligand,E1,E2,E3
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-7.3,-5.9,-5.5
XBBDACCLCFWBSI-ZETCQYMHSA-N,-6.6,-5.2,-6.0
UGJWZYARKOFRDB-UHFFFAOYSA-O,-6.3,-4.7,-4.7
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-6.3,-5.3,-5.8
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-6.3,-5.6,-5.0
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.4,-3.9,-3.5
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.8,-6.7,-5.9
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-7.8,-6.4,-5.5
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-6.7,-6.6,-5.6
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.8,-6.1,-5.3
NJCBUSHGCBERSK-UHFFFAOYSA-N,-7.2,-5.6,-4.5
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.8,-5.8,-5.7
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.9,-4.9,-4.7
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.7,-6.9,-6.2
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-8.3,-7.0,-6.6
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.7,-5.4,-5.8
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.3,-5.4,-5.7
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-9.2,-7.8,-6.5
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.4,-5.6,-5.7
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-5.2,-4.8,-4.1
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.9,-5.3,-5.7
WHUUTDBJXJRKMK-VKHMYHEASA-N,-4.9,-5.1,-4.7
URJQOOISAKEBKW-UHFFFAOYSA-N,-6.2,-4.9,-5.0
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.8,-6.2,-6.0
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-7.0,-5.8,-5.1
