ligand,E1,E2,E3
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-6.9,-7.6,-8.0
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-6.4,-8.5,-7.7
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.4,-7.4,-7.5
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-6.3,-7.1,-7.1
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.3,-6.8,-7.0
WHUUTDBJXJRKMK-VKHMYHEASA-N,-5.3,-5.4,-5.2
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.9,-3.7,-3.7
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-8.2,-7.6,-7.7
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.7,-8.1,-8.2
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-5.9,-6.7,-6.9
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.7,-6.9,-7.1
XBBDACCLCFWBSI-ZETCQYMHSA-N,-6.4,-6.5,-6.7
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-7.8,-7.1,-7.6
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.0,-7.7,-8.1
URJQOOISAKEBKW-UHFFFAOYSA-N,-6.0,-5.8,-6.1
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.8,-5.9,-6.2
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.1,-7.4,-7.3
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-5.9,-5.4,-5.5
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.1,-6.7,-6.7
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-7.7,-7.7,-8.0
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-6.9,-7.7,-7.7
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.7,-7.0,-7.1
UGJWZYARKOFRDB-UHFFFAOYSA-O,-7.2,-6.7,-6.9
NJCBUSHGCBERSK-UHFFFAOYSA-N,-7.1,-6.6,-6.7
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-7.2,-10.0,-10.0
