ligand,E1,E2,E3
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-7.3,-6.6,-6.7
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-7.5,-5.9,-9.0
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.6,-6.9,-6.7
WHUUTDBJXJRKMK-VKHMYHEASA-N,-4.7,-5.1,-4.7
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-8.2,-4.2,-9.8
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-6.4,-6.5,-5.5
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.3,-5.1,-7.6
WVRIPRILKKOIQL-UHFFFAOYSA-N,-7.7,-6.1,-6.0
NJCBUSHGCBERSK-UHFFFAOYSA-N,-8.0,-7.1,-5.8
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-7.3,-5.8,-7.9
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.1,-6.0,-5.6
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-4.0,-3.7,-3.8
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.2,-6.2,-6.8
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.0,-5.1,-6.7
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-7.3,-5.5,-6.4
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.7,-7.0,-7.1
UGJWZYARKOFRDB-UHFFFAOYSA-O,-7.6,-7.8,-6.1
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-6.0,-6.3,-6.2
URJQOOISAKEBKW-UHFFFAOYSA-N,-5.3,-4.7,-5.9
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.3,-5.8,-7.2
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-6.9,-6.2,-6.0
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-5.7,-6.8,-5.9
XBBDACCLCFWBSI-ZETCQYMHSA-N,-5.8,-6.1,-6.7
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-6.9,-1.2,-8.3
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.4,-7.6,-7.2
