ligand,E1,E2,E3
YRCRRHNVYVFNTM-SCSAIBSYSA-N,-5.0,-5.0,-5.1
RFHAOTPXVQNOHP-UHFFFAOYSA-N,-8.0,-8.2,-7.7
CUCHJCMWNFEYOM-INIZCTEOSA-N,-8.0,-6.4,-7.5
FWJKNZONDWOGMI-UHFFFAOYSA-N,-6.5,-6.0,-5.7
XMQICEWOKPEQRG-UHFFFAOYSA-N,-6.5,-5.9,-6.3
WIXFIQKTHUVFDI-LLVKDONJSA-N,-7.7,-6.6,-7.6
AQIXAKUUQRKLND-UHFFFAOYSA-N,-7.2,-6.3,-6.8
HVAKUYCEWDPRCA-UHFFFAOYSA-N,-8.1,-8.0,-7.1
WRCHFMBCVFFYEQ-KRWDZBQOSA-N,-7.1,-7.1,-6.7
SQUNAWUMZGQQJD-CQSZACIVSA-N,-8.0,-7.4,-7.2
BULMIDNYAWYAMZ-UWTATZPHSA-N,-5.8,-5.6,-5.4
FYZGXAKJVDHGDR-UHFFFAOYSA-N,-6.8,-6.8,-6.6
OPNPQXLQERQBBV-UHFFFAOYSA-N,-6.1,-5.4,-5.7
VHSBBVZJABQOSG-INIZCTEOSA-N,-7.2,-6.5,-7.3
PIDFDZJZLOTZTM-KHVQSSSXSA-N,-6.9,-7.2,-6.7
LEBVLXFERQHONN-INIZCTEOSA-N,-7.4,-5.7,-7.2
RGPDEAGGEXEMMM-QGZVFWFLSA-N,-8.5,-6.3,-7.1
QFGMXJOBTNZHEL-UHFFFAOYSA-N,-8.8,-6.9,-8.4
FXNYSZHYMGWWEZ-UHFFFAOYSA-N,-6.5,-5.9,-5.7
NGHTXZCKLWZPGK-UHFFFAOYSA-N,-7.8,-6.8,-6.9
UBVZQGOVTLIHLH-UHFFFAOYSA-N,-8.8,-9.5,-8.8
ZWGPHQZXAPWKOV-UHFFFAOYSA-N,-6.8,-6.9,-7.5
SGDBTWWWUNNDEQ-LBPRGKRZSA-N,-6.5,-6.3,-6.5
GQZQCROBCYNTMU-UHFFFAOYSA-N,-7.1,-6.6,-6.8
