ligand,E1,E2,E3
AQIXAKUUQRKLND-UHFFFAOYSA-N,-6.6,-6.5,-5.4
YRCRRHNVYVFNTM-SCSAIBSYSA-N,-4.6,-4.6,-4.7
SQUNAWUMZGQQJD-CQSZACIVSA-N,-7.1,-7.2,-7.7
CUCHJCMWNFEYOM-INIZCTEOSA-N,-8.4,-8.0,-8.0
BULMIDNYAWYAMZ-UWTATZPHSA-N,-5.2,-4.9,-5.4
RGPDEAGGEXEMMM-QGZVFWFLSA-N,-7.5,-6.8,-7.8
QFGMXJOBTNZHEL-UHFFFAOYSA-N,-7.0,-7.4,-8.7
LEBVLXFERQHONN-INIZCTEOSA-N,-6.1,-6.5,-7.0
UBVZQGOVTLIHLH-UHFFFAOYSA-N,-7.5,-8.1,-8.3
XMQICEWOKPEQRG-UHFFFAOYSA-N,-5.9,-6.1,-6.2
PIDFDZJZLOTZTM-KHVQSSSXSA-N,-8.0,-9.9,-9.2
GQZQCROBCYNTMU-UHFFFAOYSA-N,-6.1,-6.4,-6.3
HVAKUYCEWDPRCA-UHFFFAOYSA-N,-6.4,-7.8,-7.9
FXNYSZHYMGWWEZ-UHFFFAOYSA-N,-5.5,-5.5,-6.1
VHSBBVZJABQOSG-INIZCTEOSA-N,-7.0,-7.3,-8.1
FYZGXAKJVDHGDR-UHFFFAOYSA-N,-5.8,-6.5,-6.7
FWJKNZONDWOGMI-UHFFFAOYSA-N,-6.0,-5.8,-6.1
WIXFIQKTHUVFDI-LLVKDONJSA-N,-6.7,-6.7,-7.8
WRCHFMBCVFFYEQ-KRWDZBQOSA-N,-6.2,-6.0,-7.1
ZWGPHQZXAPWKOV-UHFFFAOYSA-N,-6.5,-6.4,-6.0
OPNPQXLQERQBBV-UHFFFAOYSA-N,-5.4,-5.2,-5.4
SGDBTWWWUNNDEQ-LBPRGKRZSA-N,-5.7,-6.2,-6.1
RFHAOTPXVQNOHP-UHFFFAOYSA-N,-6.7,-6.7,-7.5
NGHTXZCKLWZPGK-UHFFFAOYSA-N,-6.3,-6.8,-7.6
