ligand,E1,E2,E3
GQZQCROBCYNTMU-UHFFFAOYSA-N,-7.0,-6.6,-6.9
UBVZQGOVTLIHLH-UHFFFAOYSA-N,-8.8,-9.5,-8.9
SQUNAWUMZGQQJD-CQSZACIVSA-N,-8.0,-6.3,-7.1
CUCHJCMWNFEYOM-INIZCTEOSA-N,-8.9,-6.4,-7.4
PIDFDZJZLOTZTM-KHVQSSSXSA-N,-7.7,-7.2,-7.3
HVAKUYCEWDPRCA-UHFFFAOYSA-N,-8.1,-7.1,-7.1
ZWGPHQZXAPWKOV-UHFFFAOYSA-N,-6.8,-6.8,-7.5
NGHTXZCKLWZPGK-UHFFFAOYSA-N,-7.8,-6.7,-6.9
BULMIDNYAWYAMZ-UWTATZPHSA-N,-5.8,-5.6,-5.4
FYZGXAKJVDHGDR-UHFFFAOYSA-N,-6.8,-6.8,-6.6
QFGMXJOBTNZHEL-UHFFFAOYSA-N,-8.8,-6.9,-8.4
AQIXAKUUQRKLND-UHFFFAOYSA-N,-7.2,-6.4,-6.9
YRCRRHNVYVFNTM-SCSAIBSYSA-N,-5.1,-5.0,-5.0
RFHAOTPXVQNOHP-UHFFFAOYSA-N,-7.9,-8.2,-7.7
SGDBTWWWUNNDEQ-LBPRGKRZSA-N,-6.6,-6.4,-6.6
VHSBBVZJABQOSG-INIZCTEOSA-N,-8.2,-6.4,-6.7
LEBVLXFERQHONN-INIZCTEOSA-N,-7.5,-5.8,-7.2
RGPDEAGGEXEMMM-QGZVFWFLSA-N,-8.8,-6.0,-7.1
FWJKNZONDWOGMI-UHFFFAOYSA-N,-5.8,-6.0,-5.7
WIXFIQKTHUVFDI-LLVKDONJSA-N,-7.8,-7.1,-7.6
XMQICEWOKPEQRG-UHFFFAOYSA-N,-6.5,-5.9,-6.3
WRCHFMBCVFFYEQ-KRWDZBQOSA-N,-7.2,-7.1,-6.7
OPNPQXLQERQBBV-UHFFFAOYSA-N,-6.1,-5.4,-5.8
FXNYSZHYMGWWEZ-UHFFFAOYSA-N,-6.5,-5.9,-5.7
