ligand,E1,E2,E3
FMCGSUUBYTWNDP-ONGXEEELSA-N,-5.5,-5.7,-6.2
OUBCNLGXQFSTLU-UHFFFAOYSA-N,-7.4,-8.2,-8.6
YEKQSSHBERGOJK-UHFFFAOYSA-N,-6.1,-7.0,-7.0
YQEZLKZALYSWHR-CYBMUJFWSA-N,-6.2,-5.9,-7.1
HIANJWSAHKJQTH-UHFFFAOYSA-N,-6.8,-7.6,-8.2
IZOYMGQQVNAMHS-UHFFFAOYSA-N,-6.8,-6.8,-7.2
MFOCDFTXLCYLKU-CMPLNLGQSA-N,-5.5,-6.1,-6.9
HJCMDXDYPOUFDY-WHFBIAKZSA-N,-6.0,-6.1,-6.0
DYDCUQKUCUHJBH-UWTATZPHSA-N,-4.2,-4.1,-3.9
SQYNKIJPMDEDEG-KXGDERBTSA-N,-5.1,-5.0,-5.0
NTEDWGYJNHZKQW-DGMDOPGDSA-N,-4.8,-4.9,-4.8
YEKMWXFHPZBZLR-VIFPVBQESA-N,-6.2,-6.7,-6.6
PTXGHCGBYMQQIG-RRHRGVEJSA-N,-9.6,-9.2,-8.5
RDJGLLICXDHJDY-LLVKDONJSA-N,-6.7,-7.4,-7.6
CMSMOCZEIVJLDB-AWEZNQCLSA-N,-4.8,-5.4,-5.2
HXRSXEDVVARPHP-UHFFFAOYSA-N,-7.1,-7.3,-6.9
OFCNXPDARWKPPY-UHFFFAOYSA-N,-5.5,-5.5,-5.4
QZMQDHNCNUGQSO-UHFFFAOYSA-N,-4.3,-5.0,-4.8
WYDUSKDSKCASEF-IBGZPJMESA-N,-6.2,-7.0,-7.1
JXSJBGJIGXNWCI-MRVPVSSYSA-N,-5.1,-5.1,-5.1
XCDXSSFOJZZGQC-UHFFFAOYSA-N,-5.5,-6.2,-6.8
YUGZHQHSNYIFLG-FQEVSTJZSA-N,-8.4,-8.3,-8.4
DQGFCLJXYFXXIJ-UHFFFAOYSA-N,-7.2,-7.7,-7.9
NVBZUCIQNYPGCI-CTYIDZIISA-N,-7.2,-7.6,-7.7
