ligand,E1,E2,E3
OFCNXPDARWKPPY-UHFFFAOYSA-N,-5.2,-5.0,-5.0
IZOYMGQQVNAMHS-UHFFFAOYSA-N,-5.4,-5.7,-5.7
YUGZHQHSNYIFLG-FQEVSTJZSA-N,-7.5,-6.3,-5.8
QZMQDHNCNUGQSO-UHFFFAOYSA-N,-4.7,-4.1,-4.0
DQGFCLJXYFXXIJ-UHFFFAOYSA-N,-6.8,-5.8,-5.7
WYDUSKDSKCASEF-IBGZPJMESA-N,-5.1,-5.2,-5.3
RDJGLLICXDHJDY-LLVKDONJSA-N,-6.9,-6.0,-5.9
FMCGSUUBYTWNDP-ONGXEEELSA-N,-4.4,-4.9,-4.9
MFOCDFTXLCYLKU-CMPLNLGQSA-N,-4.8,-5.1,-4.9
JXSJBGJIGXNWCI-MRVPVSSYSA-N,-4.3,-5.1,-5.1
XCDXSSFOJZZGQC-UHFFFAOYSA-N,-5.2,-4.9,-4.9
NVBZUCIQNYPGCI-CTYIDZIISA-N,-5.6,-5.7,-5.8
HXRSXEDVVARPHP-UHFFFAOYSA-N,-6.1,-5.8,-5.6
YQEZLKZALYSWHR-CYBMUJFWSA-N,-4.6,-5.2,-5.2
OUBCNLGXQFSTLU-UHFFFAOYSA-N,-6.7,-6.8,-6.8
HJCMDXDYPOUFDY-WHFBIAKZSA-N,-5.4,-5.9,-5.5
YEKQSSHBERGOJK-UHFFFAOYSA-N,-5.3,-5.9,-6.1
PTXGHCGBYMQQIG-RRHRGVEJSA-N,-7.1,-5.8,-5.4
NTEDWGYJNHZKQW-DGMDOPGDSA-N,-5.3,-4.3,-4.8
SQYNKIJPMDEDEG-KXGDERBTSA-N,-4.8,-4.5,-4.5
CMSMOCZEIVJLDB-AWEZNQCLSA-N,-4.9,-4.5,-4.4
DYDCUQKUCUHJBH-UWTATZPHSA-N,-4.5,-4.4,-4.4
YEKMWXFHPZBZLR-VIFPVBQESA-N,-5.4,-5.4,-5.5
HIANJWSAHKJQTH-UHFFFAOYSA-N,-6.0,-6.3,-6.7
