ligand,E1,E2,E3
RDJGLLICXDHJDY-LLVKDONJSA-N,-7.0,-4.7,-5.3
DQGFCLJXYFXXIJ-UHFFFAOYSA-N,-6.5,-4.7,-6.0
YUGZHQHSNYIFLG-FQEVSTJZSA-N,-7.1,-5.1,-6.3
IZOYMGQQVNAMHS-UHFFFAOYSA-N,-6.1,-4.6,-5.5
SQYNKIJPMDEDEG-KXGDERBTSA-N,-4.5,-3.4,-3.5
DYDCUQKUCUHJBH-UWTATZPHSA-N,-4.5,-3.4,-3.3
YQEZLKZALYSWHR-CYBMUJFWSA-N,-5.0,-3.9,-5.1
JXSJBGJIGXNWCI-MRVPVSSYSA-N,-4.6,-3.6,-4.3
NTEDWGYJNHZKQW-DGMDOPGDSA-N,-5.1,-3.7,-4.0
CMSMOCZEIVJLDB-AWEZNQCLSA-N,-4.7,-3.4,-4.1
NVBZUCIQNYPGCI-CTYIDZIISA-N,-6.7,-5.5,-5.5
FMCGSUUBYTWNDP-ONGXEEELSA-N,-5.4,-3.4,-4.5
OFCNXPDARWKPPY-UHFFFAOYSA-N,-5.8,-3.9,-4.2
PTXGHCGBYMQQIG-RRHRGVEJSA-N,-6.5,-5.3,-7.0
YEKMWXFHPZBZLR-VIFPVBQESA-N,-6.4,-4.0,-5.0
YEKQSSHBERGOJK-UHFFFAOYSA-N,-6.1,-4.4,-5.2
HIANJWSAHKJQTH-UHFFFAOYSA-N,-7.2,-4.6,-5.8
QZMQDHNCNUGQSO-UHFFFAOYSA-N,-4.3,-3.0,-4.1
XCDXSSFOJZZGQC-UHFFFAOYSA-N,-5.6,-3.7,-4.8
WYDUSKDSKCASEF-IBGZPJMESA-N,-5.8,-4.1,-5.3
OUBCNLGXQFSTLU-UHFFFAOYSA-N,-7.0,-5.0,-6.1
MFOCDFTXLCYLKU-CMPLNLGQSA-N,-5.4,-3.7,-4.5
HJCMDXDYPOUFDY-WHFBIAKZSA-N,-6.2,-4.2,-4.8
HXRSXEDVVARPHP-UHFFFAOYSA-N,-7.0,-4.8,-5.6
