ligand,E1,E2,E3
MLCGWPUVZKTVLO-UHFFFAOYSA-N,-7.9,-8.6,-8.7
MKUXAQIIEYXACX-UHFFFAOYSA-N,-6.1,-6.4,-6.4
DYODAJAEQDVYFX-UHFFFAOYSA-N,-5.9,-5.9,-6.3
OLAOYPRJVHUHCF-UHFFFAOYSA-N,-5.7,-5.8,-6.2
DUHUCHOQIDJXAT-OLVMNOGESA-N,-8.2,-7.9,-8.1
MJVAVZPDRWSRRC-UHFFFAOYSA-N,-5.9,-6.3,-7.0
PDTFCHSETJBPTR-UHFFFAOYSA-N,-5.3,-5.2,-5.7
SGRUZFCHLOFYHZ-MWLCHTKSSA-N,-6.3,-6.5,-6.8
JXDFEQONERDKSS-UHFFFAOYSA-N,-4.3,-4.2,-4.7
VPJXQGSRWJZDOB-UHFFFAOYSA-O,-4.4,-4.2,-4.4
XVUQHFRQHBLHQD-UHFFFAOYSA-N,-6.8,-7.3,-8.4
SAPNXPWPAUFAJU-UHFFFAOYSA-N,-6.9,-8.5,-9.0
CKNOLMVLQUPVMU-YMMLYESFSA-N,-9.4,-9.4,-10.4
ISWRGOKTTBVCFA-UHFFFAOYSA-N,-6.2,-6.7,-6.8
XDDJGVMJFWAHJX-AWEZNQCLSA-N,-7.5,-8.0,-8.8
BLXXJMDCKKHMKV-UHFFFAOYSA-N,-6.4,-6.6,-7.5
OMWQUXGVXQELIX-UHFFFAOYSA-N,-4.7,-5.3,-5.2
SIYLLGKDQZGJHK-UHFFFAOYSA-N,-7.1,-7.2,-7.4
VRDIULHPQTYCLN-UHFFFAOYSA-N,-5.0,-5.3,-5.9
ISAOCJYIOMOJEB-CYBMUJFWSA-N,-6.9,-6.9,-7.7
YDSAJOSZKLMHFJ-ZCFIWIBFSA-N,-5.2,-5.2,-5.7
UXZFQZANDVDGMM-UHFFFAOYSA-N,-5.4,-5.7,-6.0
DPWPWRLQFGFJFI-UHFFFAOYSA-N,-5.2,-5.4,-5.8
VGQLNJWOULYVFV-SPJNRGJMSA-N,-5.8,-5.4,-5.6
KAVGMUDTWQVPDF-UHFFFAOYSA-N,-5.5,-5.3,-6.2
