ligand,E1,E2,E3
PDTFCHSETJBPTR-UHFFFAOYSA-N,-5.6,-5.1,-4.3
DUHUCHOQIDJXAT-OLVMNOGESA-N,-9.1,-8.3,-5.7
CKNOLMVLQUPVMU-YMMLYESFSA-N,-9.9,-9.4,-7.0
DPWPWRLQFGFJFI-UHFFFAOYSA-N,-6.0,-5.3,-4.4
MKUXAQIIEYXACX-UHFFFAOYSA-N,-6.3,-5.4,-4.8
MJVAVZPDRWSRRC-UHFFFAOYSA-N,-6.6,-5.5,-5.5
SIYLLGKDQZGJHK-UHFFFAOYSA-N,-8.6,-8.5,-4.9
UXZFQZANDVDGMM-UHFFFAOYSA-N,-6.0,-5.2,-4.6
XDDJGVMJFWAHJX-AWEZNQCLSA-N,-8.0,-8.0,-5.7
VGQLNJWOULYVFV-SPJNRGJMSA-N,-5.6,-4.5,-4.7
ISAOCJYIOMOJEB-CYBMUJFWSA-N,-7.8,-6.6,-5.5
JXDFEQONERDKSS-UHFFFAOYSA-N,-4.7,-3.6,-4.1
ISWRGOKTTBVCFA-UHFFFAOYSA-N,-7.2,-5.9,-5.4
OMWQUXGVXQELIX-UHFFFAOYSA-N,-5.2,-4.5,-4.0
YDSAJOSZKLMHFJ-ZCFIWIBFSA-N,-5.4,-4.4,-4.5
XVUQHFRQHBLHQD-UHFFFAOYSA-N,-8.0,-7.8,-6.0
SAPNXPWPAUFAJU-UHFFFAOYSA-N,-9.4,-9.2,-5.9
BLXXJMDCKKHMKV-UHFFFAOYSA-N,-7.6,-6.8,-5.1
DYODAJAEQDVYFX-UHFFFAOYSA-N,-5.9,-4.8,-4.5
MLCGWPUVZKTVLO-UHFFFAOYSA-N,-9.0,-8.7,-6.1
VPJXQGSRWJZDOB-UHFFFAOYSA-O,-4.4,-3.6,-3.8
SGRUZFCHLOFYHZ-MWLCHTKSSA-N,-7.1,-6.6,-5.0
OLAOYPRJVHUHCF-UHFFFAOYSA-N,-6.2,-6.2,-4.4
KAVGMUDTWQVPDF-UHFFFAOYSA-N,-5.9,-4.6,-4.7
VRDIULHPQTYCLN-UHFFFAOYSA-N,-6.0,-4.8,-4.2
