ligand,E1,E2,E3
OLAOYPRJVHUHCF-UHFFFAOYSA-N,-6.8,-6.7,-6.6
MLCGWPUVZKTVLO-UHFFFAOYSA-N,-9.9,-9.4,-9.2
UXZFQZANDVDGMM-UHFFFAOYSA-N,-6.2,-6.6,-5.9
OMWQUXGVXQELIX-UHFFFAOYSA-N,-5.7,-5.4,-4.8
XVUQHFRQHBLHQD-UHFFFAOYSA-N,-9.1,-8.5,-8.1
SGRUZFCHLOFYHZ-MWLCHTKSSA-N,-7.8,-7.2,-6.8
PDTFCHSETJBPTR-UHFFFAOYSA-N,-6.1,-5.7,-5.5
XDDJGVMJFWAHJX-AWEZNQCLSA-N,-8.5,-9.0,-8.9
JXDFEQONERDKSS-UHFFFAOYSA-N,-4.7,-4.7,-4.2
DPWPWRLQFGFJFI-UHFFFAOYSA-N,-5.5,-5.3,-5.2
DYODAJAEQDVYFX-UHFFFAOYSA-N,-6.2,-6.3,-5.7
ISWRGOKTTBVCFA-UHFFFAOYSA-N,-7.0,-7.0,-6.3
YDSAJOSZKLMHFJ-ZCFIWIBFSA-N,-5.9,-5.7,-5.3
BLXXJMDCKKHMKV-UHFFFAOYSA-N,-7.6,-6.9,-6.9
KAVGMUDTWQVPDF-UHFFFAOYSA-N,-6.3,-5.9,-5.9
MKUXAQIIEYXACX-UHFFFAOYSA-N,-7.1,-7.3,-6.3
CKNOLMVLQUPVMU-YMMLYESFSA-N,-12.1,-10.6,-10.2
SAPNXPWPAUFAJU-UHFFFAOYSA-N,-7.9,-9.2,-9.1
ISAOCJYIOMOJEB-CYBMUJFWSA-N,-7.4,-7.3,-7.0
DUHUCHOQIDJXAT-OLVMNOGESA-N,-8.9,-9.0,-9.0
VRDIULHPQTYCLN-UHFFFAOYSA-N,-5.6,-5.7,-5.4
MJVAVZPDRWSRRC-UHFFFAOYSA-N,-6.9,-6.8,-6.1
VGQLNJWOULYVFV-SPJNRGJMSA-N,-5.9,-6.5,-5.5
SIYLLGKDQZGJHK-UHFFFAOYSA-N,-7.6,-7.3,-8.1
VPJXQGSRWJZDOB-UHFFFAOYSA-O,-4.9,-5.3,-4.8
