ligand,E1,E2,E3
DUHUCHOQIDJXAT-OLVMNOGESA-N,-8.2,-7.9,-8.4
XDDJGVMJFWAHJX-AWEZNQCLSA-N,-7.6,-8.0,-8.8
ISWRGOKTTBVCFA-UHFFFAOYSA-N,-6.0,-6.7,-6.8
PDTFCHSETJBPTR-UHFFFAOYSA-N,-5.3,-5.2,-5.8
XVUQHFRQHBLHQD-UHFFFAOYSA-N,-7.2,-7.4,-8.4
VPJXQGSRWJZDOB-UHFFFAOYSA-O,-4.4,-4.1,-4.3
SGRUZFCHLOFYHZ-MWLCHTKSSA-N,-6.3,-6.6,-6.8
DYODAJAEQDVYFX-UHFFFAOYSA-N,-5.9,-5.9,-6.3
MJVAVZPDRWSRRC-UHFFFAOYSA-N,-5.9,-6.3,-7.0
VGQLNJWOULYVFV-SPJNRGJMSA-N,-5.8,-5.4,-5.6
DPWPWRLQFGFJFI-UHFFFAOYSA-N,-4.8,-5.4,-5.8
VRDIULHPQTYCLN-UHFFFAOYSA-N,-5.0,-5.3,-6.0
JXDFEQONERDKSS-UHFFFAOYSA-N,-4.3,-4.2,-4.7
SAPNXPWPAUFAJU-UHFFFAOYSA-N,-7.9,-8.5,-9.0
ISAOCJYIOMOJEB-CYBMUJFWSA-N,-6.9,-6.9,-7.7
OMWQUXGVXQELIX-UHFFFAOYSA-N,-4.7,-5.3,-5.2
MKUXAQIIEYXACX-UHFFFAOYSA-N,-6.1,-6.2,-6.4
UXZFQZANDVDGMM-UHFFFAOYSA-N,-5.4,-5.7,-6.0
MLCGWPUVZKTVLO-UHFFFAOYSA-N,-7.8,-8.5,-8.7
SIYLLGKDQZGJHK-UHFFFAOYSA-N,-7.1,-7.1,-7.2
BLXXJMDCKKHMKV-UHFFFAOYSA-N,-6.5,-6.6,-7.5
CKNOLMVLQUPVMU-YMMLYESFSA-N,-9.4,-7.6,-9.9
KAVGMUDTWQVPDF-UHFFFAOYSA-N,-5.5,-5.3,-6.0
OLAOYPRJVHUHCF-UHFFFAOYSA-N,-5.7,-5.8,-6.2
YDSAJOSZKLMHFJ-ZCFIWIBFSA-N,-5.2,-5.3,-5.7
