ligand,E1,E2,E3
YDSAJOSZKLMHFJ-ZCFIWIBFSA-N,-4.3,-5.1,-4.4
VRDIULHPQTYCLN-UHFFFAOYSA-N,-4.2,-5.2,-4.7
XVUQHFRQHBLHQD-UHFFFAOYSA-N,-5.5,-6.0,-6.6
JXDFEQONERDKSS-UHFFFAOYSA-N,-3.9,-4.4,-3.7
DYODAJAEQDVYFX-UHFFFAOYSA-N,-3.8,-5.8,-3.5
SIYLLGKDQZGJHK-UHFFFAOYSA-N,-5.5,-4.0,-4.6
CKNOLMVLQUPVMU-YMMLYESFSA-N,-6.4,-7.4,-7.1
ISWRGOKTTBVCFA-UHFFFAOYSA-N,-4.6,-5.5,-4.6
MKUXAQIIEYXACX-UHFFFAOYSA-N,-4.6,-6.6,-5.8
MJVAVZPDRWSRRC-UHFFFAOYSA-N,-5.2,-5.4,-5.1
DUHUCHOQIDJXAT-OLVMNOGESA-N,-5.2,-6.8,-6.2
VPJXQGSRWJZDOB-UHFFFAOYSA-O,-3.2,-5.4,-3.7
MLCGWPUVZKTVLO-UHFFFAOYSA-N,-5.8,-8.7,-6.9
SGRUZFCHLOFYHZ-MWLCHTKSSA-N,-4.9,-6.1,-5.0
OMWQUXGVXQELIX-UHFFFAOYSA-N,-3.6,-5.2,-3.8
PDTFCHSETJBPTR-UHFFFAOYSA-N,-4.3,-5.0,-4.4
KAVGMUDTWQVPDF-UHFFFAOYSA-N,-5.1,-5.2,-4.0
OLAOYPRJVHUHCF-UHFFFAOYSA-N,-4.0,-5.0,-4.8
UXZFQZANDVDGMM-UHFFFAOYSA-N,-4.5,-4.9,-5.0
ISAOCJYIOMOJEB-CYBMUJFWSA-N,-5.3,-5.4,-4.9
DPWPWRLQFGFJFI-UHFFFAOYSA-N,-4.4,-4.5,-4.3
SAPNXPWPAUFAJU-UHFFFAOYSA-N,-5.1,-6.2,-6.3
VGQLNJWOULYVFV-SPJNRGJMSA-N,-4.0,-5.5,-3.9
XDDJGVMJFWAHJX-AWEZNQCLSA-N,-5.4,-6.7,-4.9
BLXXJMDCKKHMKV-UHFFFAOYSA-N,-4.7,-6.1,-5.1
