ligand,E1,E2,E3
PDTFCHSETJBPTR-UHFFFAOYSA-N,-6.2,-5.7,-5.5
OMWQUXGVXQELIX-UHFFFAOYSA-N,-5.8,-5.8,-4.9
KAVGMUDTWQVPDF-UHFFFAOYSA-N,-6.3,-5.9,-5.9
YDSAJOSZKLMHFJ-ZCFIWIBFSA-N,-6.2,-6.1,-5.4
JXDFEQONERDKSS-UHFFFAOYSA-N,-4.7,-4.7,-4.2
SGRUZFCHLOFYHZ-MWLCHTKSSA-N,-7.7,-7.1,-6.8
VRDIULHPQTYCLN-UHFFFAOYSA-N,-5.9,-5.6,-5.4
DYODAJAEQDVYFX-UHFFFAOYSA-N,-6.6,-6.3,-5.7
ISWRGOKTTBVCFA-UHFFFAOYSA-N,-7.0,-7.0,-6.3
MJVAVZPDRWSRRC-UHFFFAOYSA-N,-6.9,-6.8,-6.1
VGQLNJWOULYVFV-SPJNRGJMSA-N,-6.5,-6.5,-5.4
SIYLLGKDQZGJHK-UHFFFAOYSA-N,-7.3,-7.4,-7.2
XVUQHFRQHBLHQD-UHFFFAOYSA-N,-9.0,-8.5,-8.5
MLCGWPUVZKTVLO-UHFFFAOYSA-N,-9.8,-9.4,-9.2
DPWPWRLQFGFJFI-UHFFFAOYSA-N,-5.4,-5.4,-5.3
MKUXAQIIEYXACX-UHFFFAOYSA-N,-7.1,-7.3,-6.4
XDDJGVMJFWAHJX-AWEZNQCLSA-N,-7.8,-9.0,-8.9
ISAOCJYIOMOJEB-CYBMUJFWSA-N,-7.4,-7.2,-7.0
UXZFQZANDVDGMM-UHFFFAOYSA-N,-6.2,-6.6,-5.9
CKNOLMVLQUPVMU-YMMLYESFSA-N,-12.1,-10.6,-11.9
OLAOYPRJVHUHCF-UHFFFAOYSA-N,-6.8,-6.8,-6.6
VPJXQGSRWJZDOB-UHFFFAOYSA-O,-4.9,-5.3,-4.7
BLXXJMDCKKHMKV-UHFFFAOYSA-N,-7.9,-6.9,-6.9
SAPNXPWPAUFAJU-UHFFFAOYSA-N,-9.2,-9.2,-9.2
DUHUCHOQIDJXAT-OLVMNOGESA-N,-9.1,-9.0,-9.0
