ligand,E1,E2,E3
PWHROYKAGRUWDQ-UHFFFAOYSA-N,-7.8,-7.9,-9.0
KQKPFRSPSRPDEB-UHFFFAOYSA-N,-6.5,-6.5,-6.6
FDDDEECHVMSUSB-UHFFFAOYSA-N,-5.4,-5.4,-5.9
GAZGHCHCYRSPIV-SNVBAGLBSA-N,-5.7,-6.5,-6.5
RXQCGGRTAILOIN-UHFFFAOYSA-N,-5.0,-5.4,-6.1
QFVDKARCPMTZCS-UHFFFAOYSA-N,-7.1,-7.2,-7.7
UUTKICFRNVKFRG-WDSKDSINSA-N,-6.4,-6.9,-6.3
LCTZPQRFOZKZNK-UHFFFAOYSA-N,-7.3,-7.0,-7.4
ZEMGGZBWXRYJHK-UHFFFAOYSA-N,-4.6,-4.5,-4.8
RVOLLAQWKVFTGE-UHFFFAOYSA-N,-5.0,-5.7,-5.5
QELUYTUMUWHWMC-UHFFFAOYSA-N,-6.2,-6.4,-6.7
VNFAARJCGSAROU-CYBMUJFWSA-N,-6.9,-7.2,-7.3
VXROHTDSRBRJLN-UHFFFAOYSA-O,-5.9,-5.9,-6.2
RJFAYQIBOAGBLC-BYPYZUCNSA-N,-4.0,-4.2,-4.3
DAFOCGYVTAOKAJ-VIFPVBQESA-N,-5.3,-5.8,-6.0
UGJMXCAKCUNAIE-UHFFFAOYSA-N,-5.3,-5.3,-5.8
VKYKSIONXSXAKP-UHFFFAOYSA-N,-4.1,-4.1,-4.3
LPLVUJXQOOQHMX-QWBHMCJMSA-N,-10.3,-8.7,-10.3
FTQDJVZNPJRVPG-XWEVEMRCSA-N,-8.0,-7.5,-9.2
BAINIUMDFURPJM-UHFFFAOYSA-N,-9.3,-8.5,-9.3
MGIZPPBLEKKZPZ-UHFFFAOYSA-N,-6.9,-7.3,-8.1
QPFYXYFORQJZEC-FOCLMDBBSA-N,-7.1,-6.8,-7.0
MNSQDVCVWNXBFQ-UHFFFAOYSA-N,-6.4,-7.3,-7.4
STDBAQMTJLUMFW-UHFFFAOYSA-N,-6.0,-5.6,-6.4
HWKQNAWCHQMZHK-UHFFFAOYSA-N,-5.3,-5.1,-5.3
PHPUXYRXPHEJDF-UHFFFAOYSA-N,-8.3,-8.8,-8.8
DBZJJPROPLPMSN-UHFFFAOYSA-N,-7.9,-7.2,-7.7
