ligand,E1,E2,E3
QFVDKARCPMTZCS-UHFFFAOYSA-N,-8.5,-8.3,-5.5
LCTZPQRFOZKZNK-UHFFFAOYSA-N,-8.7,-7.4,-6.3
KQKPFRSPSRPDEB-UHFFFAOYSA-N,-6.8,-6.8,-4.9
VKYKSIONXSXAKP-UHFFFAOYSA-N,-3.8,-2.8,-3.1
MNSQDVCVWNXBFQ-UHFFFAOYSA-N,-8.1,-7.4,-6.0
PHPUXYRXPHEJDF-UHFFFAOYSA-N,-9.5,-8.6,-6.5
LPLVUJXQOOQHMX-QWBHMCJMSA-N,-10.5,-10.5,-7.1
MGIZPPBLEKKZPZ-UHFFFAOYSA-N,-8.3,-7.4,-5.6
RJFAYQIBOAGBLC-BYPYZUCNSA-N,-4.3,-3.5,-3.6
UUTKICFRNVKFRG-WDSKDSINSA-N,-6.0,-5.3,-5.4
FTQDJVZNPJRVPG-XWEVEMRCSA-N,-10.3,-8.5,-6.1
PWHROYKAGRUWDQ-UHFFFAOYSA-N,-8.9,-8.5,-6.0
GAZGHCHCYRSPIV-SNVBAGLBSA-N,-6.1,-5.7,-4.8
HWKQNAWCHQMZHK-UHFFFAOYSA-N,-5.4,-5.2,-4.2
DBZJJPROPLPMSN-UHFFFAOYSA-N,-9.8,-6.4,-7.0
ZEMGGZBWXRYJHK-UHFFFAOYSA-N,-4.7,-3.4,-4.2
BAINIUMDFURPJM-UHFFFAOYSA-N,-10.4,-10.0,-7.6
STDBAQMTJLUMFW-UHFFFAOYSA-N,-6.2,-5.1,-4.9
RVOLLAQWKVFTGE-UHFFFAOYSA-N,-5.6,-4.5,-4.6
FDDDEECHVMSUSB-UHFFFAOYSA-N,-5.7,-4.4,-4.5
UGJMXCAKCUNAIE-UHFFFAOYSA-N,-5.4,-4.4,-4.6
VXROHTDSRBRJLN-UHFFFAOYSA-O,-6.4,-5.5,-4.9
DAFOCGYVTAOKAJ-VIFPVBQESA-N,-6.1,-5.0,-4.6
RXQCGGRTAILOIN-UHFFFAOYSA-N,-6.0,-4.9,-4.6
VNFAARJCGSAROU-CYBMUJFWSA-N,-7.6,-6.4,-5.2
QPFYXYFORQJZEC-FOCLMDBBSA-N,-7.0,-6.3,-5.2
QELUYTUMUWHWMC-UHFFFAOYSA-N,-6.5,-5.4,-5.0
