ligand,E1,E2,E3
QELUYTUMUWHWMC-UHFFFAOYSA-N,-6.2,-5.3,-5.6
FDDDEECHVMSUSB-UHFFFAOYSA-N,-5.7,-5.2,-4.7
KQKPFRSPSRPDEB-UHFFFAOYSA-N,-6.6,-5.6,-5.3
DAFOCGYVTAOKAJ-VIFPVBQESA-N,-5.6,-5.3,-5.3
PWHROYKAGRUWDQ-UHFFFAOYSA-N,-7.6,-6.7,-6.9
BAINIUMDFURPJM-UHFFFAOYSA-N,-7.8,-7.1,-6.4
RJFAYQIBOAGBLC-BYPYZUCNSA-N,-3.8,-3.8,-3.8
PHPUXYRXPHEJDF-UHFFFAOYSA-N,-9.0,-7.0,-6.1
QFVDKARCPMTZCS-UHFFFAOYSA-N,-7.4,-5.1,-5.1
RVOLLAQWKVFTGE-UHFFFAOYSA-N,-5.1,-4.7,-4.6
UUTKICFRNVKFRG-WDSKDSINSA-N,-5.6,-5.4,-4.5
FTQDJVZNPJRVPG-XWEVEMRCSA-N,-6.6,-6.5,-5.6
HWKQNAWCHQMZHK-UHFFFAOYSA-N,-4.9,-4.6,-4.5
MNSQDVCVWNXBFQ-UHFFFAOYSA-N,-5.7,-5.4,-5.7
GAZGHCHCYRSPIV-SNVBAGLBSA-N,-5.7,-5.5,-4.4
LCTZPQRFOZKZNK-UHFFFAOYSA-N,-5.8,-6.1,-5.5
UGJMXCAKCUNAIE-UHFFFAOYSA-N,-5.0,-5.2,-4.5
RXQCGGRTAILOIN-UHFFFAOYSA-N,-5.1,-5.1,-4.7
MGIZPPBLEKKZPZ-UHFFFAOYSA-N,-6.9,-5.8,-5.8
ZEMGGZBWXRYJHK-UHFFFAOYSA-N,-4.4,-4.2,-3.8
VXROHTDSRBRJLN-UHFFFAOYSA-O,-6.5,-5.4,-5.4
STDBAQMTJLUMFW-UHFFFAOYSA-N,-5.5,-5.1,-4.0
DBZJJPROPLPMSN-UHFFFAOYSA-N,-8.0,-5.9,-5.7
VNFAARJCGSAROU-CYBMUJFWSA-N,-6.4,-6.3,-5.7
VKYKSIONXSXAKP-UHFFFAOYSA-N,-3.4,-3.8,-2.2
LPLVUJXQOOQHMX-QWBHMCJMSA-N,-7.8,-7.7,-7.0
QPFYXYFORQJZEC-FOCLMDBBSA-N,-6.3,-6.1,-5.7
