ligand,E1,E2,E3
FTQDJVZNPJRVPG-XWEVEMRCSA-N,-8.1,-7.5,-9.2
LCTZPQRFOZKZNK-UHFFFAOYSA-N,-7.2,-7.0,-7.4
QPFYXYFORQJZEC-FOCLMDBBSA-N,-7.1,-6.8,-7.0
UUTKICFRNVKFRG-WDSKDSINSA-N,-6.0,-6.9,-6.3
VXROHTDSRBRJLN-UHFFFAOYSA-O,-5.9,-5.9,-6.2
DBZJJPROPLPMSN-UHFFFAOYSA-N,-8.1,-7.4,-7.7
VKYKSIONXSXAKP-UHFFFAOYSA-N,-4.1,-4.1,-4.3
RVOLLAQWKVFTGE-UHFFFAOYSA-N,-5.3,-5.7,-5.5
STDBAQMTJLUMFW-UHFFFAOYSA-N,-6.0,-5.6,-6.4
PHPUXYRXPHEJDF-UHFFFAOYSA-N,-9.2,-8.7,-8.8
RJFAYQIBOAGBLC-BYPYZUCNSA-N,-4.1,-4.1,-4.2
DAFOCGYVTAOKAJ-VIFPVBQESA-N,-5.5,-5.8,-6.0
QELUYTUMUWHWMC-UHFFFAOYSA-N,-6.2,-6.4,-6.7
BAINIUMDFURPJM-UHFFFAOYSA-N,-9.0,-8.3,-9.3
VNFAARJCGSAROU-CYBMUJFWSA-N,-7.0,-7.2,-7.3
HWKQNAWCHQMZHK-UHFFFAOYSA-N,-4.8,-5.1,-5.4
QFVDKARCPMTZCS-UHFFFAOYSA-N,-7.1,-7.2,-7.7
PWHROYKAGRUWDQ-UHFFFAOYSA-N,-7.5,-8.0,-9.0
RXQCGGRTAILOIN-UHFFFAOYSA-N,-5.0,-5.4,-6.1
GAZGHCHCYRSPIV-SNVBAGLBSA-N,-5.7,-6.5,-6.5
MGIZPPBLEKKZPZ-UHFFFAOYSA-N,-6.8,-7.3,-8.2
MNSQDVCVWNXBFQ-UHFFFAOYSA-N,-6.4,-7.3,-6.7
UGJMXCAKCUNAIE-UHFFFAOYSA-N,-5.4,-5.3,-5.8
ZEMGGZBWXRYJHK-UHFFFAOYSA-N,-4.6,-4.5,-4.8
FDDDEECHVMSUSB-UHFFFAOYSA-N,-5.3,-5.4,-5.9
LPLVUJXQOOQHMX-QWBHMCJMSA-N,-10.3,-8.8,-10.4
KQKPFRSPSRPDEB-UHFFFAOYSA-N,-6.5,-6.4,-6.5
