ligand,energy,binding score
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-4.8,53757.06
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-5.6,49671.96
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-4.8,51557.67
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-7.7,36962.41
WHUUTDBJXJRKMK-VKHMYHEASA-N,-4.2,81894.26
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-5.5,46984.57
PYZRQGJRPPTADH-UHFFFAOYSA-N,-5.9,40931.76
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.0,49086.2
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-6.7,34418.86
WVRIPRILKKOIQL-UHFFFAOYSA-N,-5.2,53762.0
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-5.7,52321.24
UGJWZYARKOFRDB-UHFFFAOYSA-O,-5.2,49061.45
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-6.5,44987.68
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-5.7,47046.95
DQMZLTXERSFNPB-UHFFFAOYSA-N,-5.9,49464.11
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-5.2,61138.18
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-5.4,55327.89
VGLGVJVUHYTIIU-LLVKDONJSA-N,-5.4,30974.93
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-5.2,56605.68
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-6.4,42973.81
XBBDACCLCFWBSI-ZETCQYMHSA-N,-5.3,57748.55
NJCBUSHGCBERSK-UHFFFAOYSA-N,-5.3,43547.21
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-5.1,63398.85
URJQOOISAKEBKW-UHFFFAOYSA-N,-5.3,30946.07
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-5.4,55924.61
FMCGSUUBYTWNDP-ONGXEEELSA-N,-4.9,49426.17
OFCNXPDARWKPPY-UHFFFAOYSA-N,-4.4,57738.61
DYDCUQKUCUHJBH-UWTATZPHSA-N,-4.7,59501.57
NVBZUCIQNYPGCI-CTYIDZIISA-N,-6.5,33929.04
PTXGHCGBYMQQIG-RRHRGVEJSA-N,-7.1,30903.8
OUBCNLGXQFSTLU-UHFFFAOYSA-N,-7.4,41587.32
XCDXSSFOJZZGQC-UHFFFAOYSA-N,-5.6,65421.05
HJCMDXDYPOUFDY-WHFBIAKZSA-N,-5.1,59329.92
NTEDWGYJNHZKQW-DGMDOPGDSA-N,-4.1,49533.84
YEKMWXFHPZBZLR-VIFPVBQESA-N,-5.7,53784.6
IZOYMGQQVNAMHS-UHFFFAOYSA-N,-5.4,56063.41
YQEZLKZALYSWHR-CYBMUJFWSA-N,-5.7,35291.63
SQYNKIJPMDEDEG-KXGDERBTSA-N,-4.0,61557.28
YUGZHQHSNYIFLG-FQEVSTJZSA-N,-7.2,43191.07
DQGFCLJXYFXXIJ-UHFFFAOYSA-N,-6.5,48791.23
MFOCDFTXLCYLKU-CMPLNLGQSA-N,-5.5,49110.61
YEKQSSHBERGOJK-UHFFFAOYSA-N,-5.7,50386.45
QZMQDHNCNUGQSO-UHFFFAOYSA-N,-4.3,56097.17
WYDUSKDSKCASEF-IBGZPJMESA-N,-6.2,45110.07
RDJGLLICXDHJDY-LLVKDONJSA-N,-6.1,50757.72
CMSMOCZEIVJLDB-AWEZNQCLSA-N,-4.6,42223.92
HIANJWSAHKJQTH-UHFFFAOYSA-N,-6.1,40147.42
HXRSXEDVVARPHP-UHFFFAOYSA-N,-6.0,31041.9
JXSJBGJIGXNWCI-MRVPVSSYSA-N,-4.7,38322.04
GAZGHCHCYRSPIV-SNVBAGLBSA-N,-5.3,55524.89
QPFYXYFORQJZEC-FOCLMDBBSA-N,-6.1,57812.11
LPLVUJXQOOQHMX-QWBHMCJMSA-N,-8.0,37959.64
DAFOCGYVTAOKAJ-VIFPVBQESA-N,-5.2,63027.8
STDBAQMTJLUMFW-UHFFFAOYSA-N,-5.3,40345.12
ZEMGGZBWXRYJHK-UHFFFAOYSA-N,-4.1,43445.05
DBZJJPROPLPMSN-UHFFFAOYSA-N,-6.5,37098.49
MNSQDVCVWNXBFQ-UHFFFAOYSA-N,-5.7,35825.27
RVOLLAQWKVFTGE-UHFFFAOYSA-N,-4.8,42632.72
FDDDEECHVMSUSB-UHFFFAOYSA-N,-4.8,42880.4
LCTZPQRFOZKZNK-UHFFFAOYSA-N,-6.6,41037.07
BAINIUMDFURPJM-UHFFFAOYSA-N,-8.1,50866.28
VXROHTDSRBRJLN-UHFFFAOYSA-O,-5.6,38656.19
PWHROYKAGRUWDQ-UHFFFAOYSA-N,-6.5,53979.05
RJFAYQIBOAGBLC-BYPYZUCNSA-N,-3.5,36019.81
QFVDKARCPMTZCS-UHFFFAOYSA-N,-5.3,37624.19
QELUYTUMUWHWMC-UHFFFAOYSA-N,-5.4,58561.17
KQKPFRSPSRPDEB-UHFFFAOYSA-N,-6.0,50117.38
MGIZPPBLEKKZPZ-UHFFFAOYSA-N,-6.2,33304.97
VNFAARJCGSAROU-CYBMUJFWSA-N,-6.3,44940.82
UUTKICFRNVKFRG-WDSKDSINSA-N,-5.7,62921.33
PHPUXYRXPHEJDF-UHFFFAOYSA-N,-6.9,33715.86
UGJMXCAKCUNAIE-UHFFFAOYSA-N,-4.8,50183.84
VKYKSIONXSXAKP-UHFFFAOYSA-N,-3.3,59228.27
RXQCGGRTAILOIN-UHFFFAOYSA-N,-4.7,42652.79
FTQDJVZNPJRVPG-XWEVEMRCSA-N,-7.5,42203.44
HWKQNAWCHQMZHK-UHFFFAOYSA-N,-4.7,60018.51
GQZQCROBCYNTMU-UHFFFAOYSA-N,-5.3,72591.13
UBVZQGOVTLIHLH-UHFFFAOYSA-N,-6.1,43060.09
FWJKNZONDWOGMI-UHFFFAOYSA-N,-5.1,51455.02
QFGMXJOBTNZHEL-UHFFFAOYSA-N,-7.1,41357.47
RGPDEAGGEXEMMM-QGZVFWFLSA-N,-6.7,56962.51
SQUNAWUMZGQQJD-CQSZACIVSA-N,-5.8,55427.05
NGHTXZCKLWZPGK-UHFFFAOYSA-N,-6.5,54886.79
VHSBBVZJABQOSG-INIZCTEOSA-N,-5.3,36512.85
AQIXAKUUQRKLND-UHFFFAOYSA-N,-4.8,51259.2
CUCHJCMWNFEYOM-INIZCTEOSA-N,-7.0,37658.82
RFHAOTPXVQNOHP-UHFFFAOYSA-N,-6.3,38849.56
PIDFDZJZLOTZTM-KHVQSSSXSA-N,-8.5,39935.65
ZWGPHQZXAPWKOV-UHFFFAOYSA-N,-6.0,53665.05
FYZGXAKJVDHGDR-UHFFFAOYSA-N,-5.2,49443.94
WRCHFMBCVFFYEQ-KRWDZBQOSA-N,-5.7,50759.79
SGDBTWWWUNNDEQ-LBPRGKRZSA-N,-4.9,36470.46
OPNPQXLQERQBBV-UHFFFAOYSA-N,-4.7,39298.66
BULMIDNYAWYAMZ-UWTATZPHSA-N,-4.5,69903.13
XMQICEWOKPEQRG-UHFFFAOYSA-N,-5.2,48086.91
YRCRRHNVYVFNTM-SCSAIBSYSA-N,-4.1,61141.96
WIXFIQKTHUVFDI-LLVKDONJSA-N,-6.2,53453.17
LEBVLXFERQHONN-INIZCTEOSA-N,-6.9,46233.73
HVAKUYCEWDPRCA-UHFFFAOYSA-N,-5.8,56760.54
FXNYSZHYMGWWEZ-UHFFFAOYSA-N,-5.1,41536.07
JXDFEQONERDKSS-UHFFFAOYSA-N,-4.0,55977.55
VPJXQGSRWJZDOB-UHFFFAOYSA-O,-3.9,63165.56
SAPNXPWPAUFAJU-UHFFFAOYSA-N,-6.6,41925.49
ISWRGOKTTBVCFA-UHFFFAOYSA-N,-6.1,68669.31
PDTFCHSETJBPTR-UHFFFAOYSA-N,-4.9,53906.9
