ligand,energy,binding score
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.8,43035.8
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.9,34815.89
XBBDACCLCFWBSI-ZETCQYMHSA-N,-6.2,49733.99
NJCBUSHGCBERSK-UHFFFAOYSA-N,-6.5,22408.01
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-6.3,16010.41
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-8.5,34386.53
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.5,41526.4
URJQOOISAKEBKW-UHFFFAOYSA-N,-5.8,31703.12
UGJWZYARKOFRDB-UHFFFAOYSA-O,-7.1,27355.84
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.8,39832.84
WHUUTDBJXJRKMK-VKHMYHEASA-N,-5.1,37837.71
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-6.0,42170.15
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.3,42497.68
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.2,15814.91
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-6.6,33069.88
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-10.3,39310.13
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.1,19160.26
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-6.5,43217.05
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-7.6,42370.06
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-5.3,36303.53
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-7.4,36288.31
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.1,30554.1
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-9.2,42861.38
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.5,42394.22
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.7,14105.15
HJCMDXDYPOUFDY-WHFBIAKZSA-N,-5.8,21627.06
NTEDWGYJNHZKQW-DGMDOPGDSA-N,-4.9,40778.53
JXSJBGJIGXNWCI-MRVPVSSYSA-N,-5.5,35893.94
DQGFCLJXYFXXIJ-UHFFFAOYSA-N,-8.0,30571.17
RDJGLLICXDHJDY-LLVKDONJSA-N,-8.1,28147.64
CMSMOCZEIVJLDB-AWEZNQCLSA-N,-5.1,40003.68
YEKQSSHBERGOJK-UHFFFAOYSA-N,-6.7,35730.11
FMCGSUUBYTWNDP-ONGXEEELSA-N,-6.1,43064.31
OUBCNLGXQFSTLU-UHFFFAOYSA-N,-7.8,37791.66
YQEZLKZALYSWHR-CYBMUJFWSA-N,-6.5,16253.84
OFCNXPDARWKPPY-UHFFFAOYSA-N,-5.7,35270.77
HXRSXEDVVARPHP-UHFFFAOYSA-N,-8.1,30781.55
QZMQDHNCNUGQSO-UHFFFAOYSA-N,-5.2,38815.37
DYDCUQKUCUHJBH-UWTATZPHSA-N,-4.4,33071.58
YEKMWXFHPZBZLR-VIFPVBQESA-N,-6.4,41323.86
PTXGHCGBYMQQIG-RRHRGVEJSA-N,-10.0,30381.48
MFOCDFTXLCYLKU-CMPLNLGQSA-N,-6.3,37315.06
HIANJWSAHKJQTH-UHFFFAOYSA-N,-7.8,36247.95
SQYNKIJPMDEDEG-KXGDERBTSA-N,-4.3,36484.27
NVBZUCIQNYPGCI-CTYIDZIISA-N,-8.0,32926.08
XCDXSSFOJZZGQC-UHFFFAOYSA-N,-7.3,34689.82
IZOYMGQQVNAMHS-UHFFFAOYSA-N,-6.7,36441.58
WYDUSKDSKCASEF-IBGZPJMESA-N,-7.8,10483.13
YUGZHQHSNYIFLG-FQEVSTJZSA-N,-9.0,24301.32
QFVDKARCPMTZCS-UHFFFAOYSA-N,-8.5,33742.67
LCTZPQRFOZKZNK-UHFFFAOYSA-N,-8.7,39135.23
KQKPFRSPSRPDEB-UHFFFAOYSA-N,-6.8,46576.98
VKYKSIONXSXAKP-UHFFFAOYSA-N,-3.8,36316.33
MNSQDVCVWNXBFQ-UHFFFAOYSA-N,-8.1,39470.6
PHPUXYRXPHEJDF-UHFFFAOYSA-N,-9.5,32466.75
LPLVUJXQOOQHMX-QWBHMCJMSA-N,-10.5,37448.41
MGIZPPBLEKKZPZ-UHFFFAOYSA-N,-8.3,27480.94
RJFAYQIBOAGBLC-BYPYZUCNSA-N,-4.3,33222.76
UUTKICFRNVKFRG-WDSKDSINSA-N,-6.0,34239.88
FTQDJVZNPJRVPG-XWEVEMRCSA-N,-10.3,40867.21
PWHROYKAGRUWDQ-UHFFFAOYSA-N,-8.9,45304.5
GAZGHCHCYRSPIV-SNVBAGLBSA-N,-6.1,46105.98
HWKQNAWCHQMZHK-UHFFFAOYSA-N,-5.4,38387.64
DBZJJPROPLPMSN-UHFFFAOYSA-N,-9.8,31854.19
ZEMGGZBWXRYJHK-UHFFFAOYSA-N,-4.7,37182.71
BAINIUMDFURPJM-UHFFFAOYSA-N,-10.4,42483.4
STDBAQMTJLUMFW-UHFFFAOYSA-N,-6.2,35316.76
RVOLLAQWKVFTGE-UHFFFAOYSA-N,-5.6,40725.97
FDDDEECHVMSUSB-UHFFFAOYSA-N,-5.7,33332.69
UGJMXCAKCUNAIE-UHFFFAOYSA-N,-5.4,38585.13
VXROHTDSRBRJLN-UHFFFAOYSA-O,-6.4,41201.65
DAFOCGYVTAOKAJ-VIFPVBQESA-N,-6.1,32857.07
RXQCGGRTAILOIN-UHFFFAOYSA-N,-6.0,22237.83
VNFAARJCGSAROU-CYBMUJFWSA-N,-7.6,35474.81
QPFYXYFORQJZEC-FOCLMDBBSA-N,-7.0,39632.01
QELUYTUMUWHWMC-UHFFFAOYSA-N,-6.5,42476.33
PIDFDZJZLOTZTM-KHVQSSSXSA-N,-10.4,38249.28
BULMIDNYAWYAMZ-UWTATZPHSA-N,-5.1,35752.67
UBVZQGOVTLIHLH-UHFFFAOYSA-N,-8.1,24821.64
XMQICEWOKPEQRG-UHFFFAOYSA-N,-6.1,33634.02
QFGMXJOBTNZHEL-UHFFFAOYSA-N,-8.2,33147.22
SGDBTWWWUNNDEQ-LBPRGKRZSA-N,-6.6,34992.98
FWJKNZONDWOGMI-UHFFFAOYSA-N,-6.0,33779.9
NGHTXZCKLWZPGK-UHFFFAOYSA-N,-6.9,40510.56
AQIXAKUUQRKLND-UHFFFAOYSA-N,-6.3,12718.17
OPNPQXLQERQBBV-UHFFFAOYSA-N,-5.7,35074.01
LEBVLXFERQHONN-INIZCTEOSA-N,-7.3,26542.2
FYZGXAKJVDHGDR-UHFFFAOYSA-N,-6.2,23756.51
VHSBBVZJABQOSG-INIZCTEOSA-N,-7.6,30354.87
HVAKUYCEWDPRCA-UHFFFAOYSA-N,-7.6,41623.42
RFHAOTPXVQNOHP-UHFFFAOYSA-N,-7.2,32276.67
SQUNAWUMZGQQJD-CQSZACIVSA-N,-7.9,36809.1
YRCRRHNVYVFNTM-SCSAIBSYSA-N,-5.0,42758.35
FXNYSZHYMGWWEZ-UHFFFAOYSA-N,-5.9,40297.36
CUCHJCMWNFEYOM-INIZCTEOSA-N,-8.7,32121.1
WIXFIQKTHUVFDI-LLVKDONJSA-N,-6.7,36991.17
GQZQCROBCYNTMU-UHFFFAOYSA-N,-6.7,44370.42
RGPDEAGGEXEMMM-QGZVFWFLSA-N,-8.2,21433.39
WRCHFMBCVFFYEQ-KRWDZBQOSA-N,-7.9,40333.21
ZWGPHQZXAPWKOV-UHFFFAOYSA-N,-6.5,45445.01
OMWQUXGVXQELIX-UHFFFAOYSA-N,-5.2,13302.62
MLCGWPUVZKTVLO-UHFFFAOYSA-N,-9.0,32210.87
DYODAJAEQDVYFX-UHFFFAOYSA-N,-5.9,40826.56
SGRUZFCHLOFYHZ-MWLCHTKSSA-N,-7.0,28424.22
ISWRGOKTTBVCFA-UHFFFAOYSA-N,-7.2,36106.41
VRDIULHPQTYCLN-UHFFFAOYSA-N,-6.0,35066.64
DUHUCHOQIDJXAT-OLVMNOGESA-N,-9.1,35168.19
VGQLNJWOULYVFV-SPJNRGJMSA-N,-5.6,39198.33
JXDFEQONERDKSS-UHFFFAOYSA-N,-4.7,37614.53
XDDJGVMJFWAHJX-AWEZNQCLSA-N,-8.0,36475.86
UXZFQZANDVDGMM-UHFFFAOYSA-N,-5.9,39053.04
BLXXJMDCKKHMKV-UHFFFAOYSA-N,-7.6,41089.09
ISAOCJYIOMOJEB-CYBMUJFWSA-N,-7.8,33038.62
XVUQHFRQHBLHQD-UHFFFAOYSA-N,-8.1,34893.46
SIYLLGKDQZGJHK-UHFFFAOYSA-N,-8.5,19593.9
MJVAVZPDRWSRRC-UHFFFAOYSA-N,-6.6,37411.41
PDTFCHSETJBPTR-UHFFFAOYSA-N,-5.6,34056.48
YDSAJOSZKLMHFJ-ZCFIWIBFSA-N,-5.4,37894.99
SAPNXPWPAUFAJU-UHFFFAOYSA-N,-9.4,28777.54
VPJXQGSRWJZDOB-UHFFFAOYSA-O,-4.4,39379.74
CKNOLMVLQUPVMU-YMMLYESFSA-N,-9.9,38137.9
MKUXAQIIEYXACX-UHFFFAOYSA-N,-6.3,11611.77
OLAOYPRJVHUHCF-UHFFFAOYSA-N,-6.2,25865.94
KAVGMUDTWQVPDF-UHFFFAOYSA-N,-5.9,26075.4
DPWPWRLQFGFJFI-UHFFFAOYSA-N,-6.1,11931.98
