ligand,energy,binding score
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.8,33343.91
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.8,19470.22
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-8.3,30049.16
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-4.0,32516.04
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.3,32654.78
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-6.4,14490.38
UGJWZYARKOFRDB-UHFFFAOYSA-O,-6.2,18326.65
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.1,19342.71
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-6.0,24386.95
WHUUTDBJXJRKMK-VKHMYHEASA-N,-5.5,26179.67
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-6.3,34369.39
NJCBUSHGCBERSK-UHFFFAOYSA-N,-6.5,30807.45
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.8,20588.11
XBBDACCLCFWBSI-ZETCQYMHSA-N,-6.8,30895.28
VGLGVJVUHYTIIU-LLVKDONJSA-N,-6.8,27418.91
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-6.6,30286.6
URJQOOISAKEBKW-UHFFFAOYSA-N,-5.7,27256.73
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-7.5,29238.29
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.5,27016.99
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-7.1,34138.43
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-7.7,35201.25
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.0,30248.3
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-4.8,33141.82
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-5.9,39285.77
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.9,23888.89
CMSMOCZEIVJLDB-AWEZNQCLSA-N,-5.0,31394.23
PTXGHCGBYMQQIG-RRHRGVEJSA-N,-8.0,28801.44
OFCNXPDARWKPPY-UHFFFAOYSA-N,-5.8,32102.48
HIANJWSAHKJQTH-UHFFFAOYSA-N,-7.6,26975.2
SQYNKIJPMDEDEG-KXGDERBTSA-N,-4.9,32886.91
DYDCUQKUCUHJBH-UWTATZPHSA-N,-4.3,28276.13
DQGFCLJXYFXXIJ-UHFFFAOYSA-N,-7.1,16579.21
HXRSXEDVVARPHP-UHFFFAOYSA-N,-6.8,27780.74
HJCMDXDYPOUFDY-WHFBIAKZSA-N,-6.2,20009.28
IZOYMGQQVNAMHS-UHFFFAOYSA-N,-7.1,28396.03
XCDXSSFOJZZGQC-UHFFFAOYSA-N,-6.4,29116.56
YQEZLKZALYSWHR-CYBMUJFWSA-N,-6.6,22152.13
NVBZUCIQNYPGCI-CTYIDZIISA-N,-7.5,29474.63
YUGZHQHSNYIFLG-FQEVSTJZSA-N,-7.5,10526.94
OUBCNLGXQFSTLU-UHFFFAOYSA-N,-7.5,31924.5
YEKQSSHBERGOJK-UHFFFAOYSA-N,-6.4,25514.12
QZMQDHNCNUGQSO-UHFFFAOYSA-N,-4.8,36295.17
FMCGSUUBYTWNDP-ONGXEEELSA-N,-5.4,33013.14
WYDUSKDSKCASEF-IBGZPJMESA-N,-6.8,13523.86
NTEDWGYJNHZKQW-DGMDOPGDSA-N,-4.7,34004.17
JXSJBGJIGXNWCI-MRVPVSSYSA-N,-5.0,29656.3
RDJGLLICXDHJDY-LLVKDONJSA-N,-7.5,25245.1
YEKMWXFHPZBZLR-VIFPVBQESA-N,-6.1,34703.48
MFOCDFTXLCYLKU-CMPLNLGQSA-N,-6.0,34303.21
LPLVUJXQOOQHMX-QWBHMCJMSA-N,-8.6,28793.02
RJFAYQIBOAGBLC-BYPYZUCNSA-N,-4.6,29674.46
RVOLLAQWKVFTGE-UHFFFAOYSA-N,-5.3,29714.64
VKYKSIONXSXAKP-UHFFFAOYSA-N,-4.5,24139.73
GAZGHCHCYRSPIV-SNVBAGLBSA-N,-6.0,36764.36
BAINIUMDFURPJM-UHFFFAOYSA-N,-8.2,35807.97
ZEMGGZBWXRYJHK-UHFFFAOYSA-N,-4.7,32009.07
STDBAQMTJLUMFW-UHFFFAOYSA-N,-6.2,28610.01
VNFAARJCGSAROU-CYBMUJFWSA-N,-6.3,30304.75
LCTZPQRFOZKZNK-UHFFFAOYSA-N,-7.0,33386.38
KQKPFRSPSRPDEB-UHFFFAOYSA-N,-6.9,34549.1
QFVDKARCPMTZCS-UHFFFAOYSA-N,-6.9,30241.08
PWHROYKAGRUWDQ-UHFFFAOYSA-N,-8.0,34509.64
MNSQDVCVWNXBFQ-UHFFFAOYSA-N,-7.1,25570.26
MGIZPPBLEKKZPZ-UHFFFAOYSA-N,-7.3,26214.32
VXROHTDSRBRJLN-UHFFFAOYSA-O,-6.3,27533.65
QPFYXYFORQJZEC-FOCLMDBBSA-N,-6.6,27431.12
HWKQNAWCHQMZHK-UHFFFAOYSA-N,-5.6,25623.9
FDDDEECHVMSUSB-UHFFFAOYSA-N,-6.1,19326.53
RXQCGGRTAILOIN-UHFFFAOYSA-N,-5.3,29319.49
FTQDJVZNPJRVPG-XWEVEMRCSA-N,-9.2,26858.49
DBZJJPROPLPMSN-UHFFFAOYSA-N,-7.6,28085.73
UUTKICFRNVKFRG-WDSKDSINSA-N,-6.6,24891.89
QELUYTUMUWHWMC-UHFFFAOYSA-N,-6.3,36005.36
UGJMXCAKCUNAIE-UHFFFAOYSA-N,-6.1,31479.33
PHPUXYRXPHEJDF-UHFFFAOYSA-N,-8.0,27423.7
DAFOCGYVTAOKAJ-VIFPVBQESA-N,-6.1,26216.5
RGPDEAGGEXEMMM-QGZVFWFLSA-N,-7.7,20285.3
BULMIDNYAWYAMZ-UWTATZPHSA-N,-4.8,25838.04
FYZGXAKJVDHGDR-UHFFFAOYSA-N,-6.6,22582.11
RFHAOTPXVQNOHP-UHFFFAOYSA-N,-6.8,24473.87
AQIXAKUUQRKLND-UHFFFAOYSA-N,-6.0,17000.2
SQUNAWUMZGQQJD-CQSZACIVSA-N,-6.8,31740.36
FWJKNZONDWOGMI-UHFFFAOYSA-N,-5.9,22248.81
CUCHJCMWNFEYOM-INIZCTEOSA-N,-7.8,29341.82
OPNPQXLQERQBBV-UHFFFAOYSA-N,-5.8,27163.83
QFGMXJOBTNZHEL-UHFFFAOYSA-N,-8.1,28156.37
VHSBBVZJABQOSG-INIZCTEOSA-N,-6.8,26497.11
WIXFIQKTHUVFDI-LLVKDONJSA-N,-7.0,35644.55
LEBVLXFERQHONN-INIZCTEOSA-N,-6.8,15852.62
PIDFDZJZLOTZTM-KHVQSSSXSA-N,-8.9,27350.07
UBVZQGOVTLIHLH-UHFFFAOYSA-N,-7.7,8498.69
HVAKUYCEWDPRCA-UHFFFAOYSA-N,-7.0,33915.05
ZWGPHQZXAPWKOV-UHFFFAOYSA-N,-6.4,34407.84
YRCRRHNVYVFNTM-SCSAIBSYSA-N,-4.9,32630.88
WRCHFMBCVFFYEQ-KRWDZBQOSA-N,-6.7,29339.75
SGDBTWWWUNNDEQ-LBPRGKRZSA-N,-5.9,29463.97
FXNYSZHYMGWWEZ-UHFFFAOYSA-N,-5.8,33918.27
GQZQCROBCYNTMU-UHFFFAOYSA-N,-6.4,26776.92
NGHTXZCKLWZPGK-UHFFFAOYSA-N,-7.0,22527.92
XMQICEWOKPEQRG-UHFFFAOYSA-N,-6.1,20610.73
MJVAVZPDRWSRRC-UHFFFAOYSA-N,-6.5,33042.74
JXDFEQONERDKSS-UHFFFAOYSA-N,-4.4,32839.48
CKNOLMVLQUPVMU-YMMLYESFSA-N,-8.3,28874.2
ISAOCJYIOMOJEB-CYBMUJFWSA-N,-6.9,25936.19
OLAOYPRJVHUHCF-UHFFFAOYSA-N,-5.5,25776.0
UXZFQZANDVDGMM-UHFFFAOYSA-N,-6.0,27886.43
DYODAJAEQDVYFX-UHFFFAOYSA-N,-5.9,30950.08
DUHUCHOQIDJXAT-OLVMNOGESA-N,-8.8,21467.64
VPJXQGSRWJZDOB-UHFFFAOYSA-O,-4.5,32948.7
BLXXJMDCKKHMKV-UHFFFAOYSA-N,-7.3,33465.1
MKUXAQIIEYXACX-UHFFFAOYSA-N,-6.6,17759.2
DPWPWRLQFGFJFI-UHFFFAOYSA-N,-5.7,20073.99
XVUQHFRQHBLHQD-UHFFFAOYSA-N,-7.2,30374.43
XDDJGVMJFWAHJX-AWEZNQCLSA-N,-7.7,28585.96
YDSAJOSZKLMHFJ-ZCFIWIBFSA-N,-5.4,31334.59
ISWRGOKTTBVCFA-UHFFFAOYSA-N,-6.5,30672.42
PDTFCHSETJBPTR-UHFFFAOYSA-N,-5.7,31374.26
