ligand,energy,binding score
VGLGVJVUHYTIIU-LLVKDONJSA-N,-6.6,22534.71
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.3,16192.99
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.5,16824.68
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-5.6,20236.7
WVRIPRILKKOIQL-UHFFFAOYSA-N,-5.7,17399.03
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-6.8,11699.77
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-7.7,23356.79
NJCBUSHGCBERSK-UHFFFAOYSA-N,-5.8,13757.46
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.1,13872.22
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-9.3,16075.06
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-5.7,10003.6
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-8.1,20935.58
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.6,20371.48
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.1,15660.23
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-4.6,25209.87
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-6.3,29432.28
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-6.3,22453.67
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.6,9207.06
XBBDACCLCFWBSI-ZETCQYMHSA-N,-5.7,13493.0
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-5.3,15777.29
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-6.9,23897.55
WHUUTDBJXJRKMK-VKHMYHEASA-N,-5.1,17507.41
UGJWZYARKOFRDB-UHFFFAOYSA-O,-6.0,11589.78
URJQOOISAKEBKW-UHFFFAOYSA-N,-6.1,20993.46
PYZRQGJRPPTADH-UHFFFAOYSA-N,-6.7,21958.2
XCDXSSFOJZZGQC-UHFFFAOYSA-N,-6.0,26746.99
NTEDWGYJNHZKQW-DGMDOPGDSA-N,-4.7,22260.2
YQEZLKZALYSWHR-CYBMUJFWSA-N,-6.5,12385.87
YEKMWXFHPZBZLR-VIFPVBQESA-N,-6.0,22003.7
NVBZUCIQNYPGCI-CTYIDZIISA-N,-7.3,24800.25
IZOYMGQQVNAMHS-UHFFFAOYSA-N,-6.2,19121.97
HIANJWSAHKJQTH-UHFFFAOYSA-N,-7.2,15783.41
SQYNKIJPMDEDEG-KXGDERBTSA-N,-4.3,22498.48
OUBCNLGXQFSTLU-UHFFFAOYSA-N,-8.1,25385.57
RDJGLLICXDHJDY-LLVKDONJSA-N,-7.0,20781.96
FMCGSUUBYTWNDP-ONGXEEELSA-N,-5.5,22045.18
