ligand,energy,binding score
PYZRQGJRPPTADH-UHFFFAOYSA-N,-7.0,34901.65
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-5.7,42306.45
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.6,32788.08
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-6.3,43055.86
URJQOOISAKEBKW-UHFFFAOYSA-N,-6.0,30080.67
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-6.0,36140.72
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-6.0,31693.75
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-8.5,37605.74
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-7.1,41916.69
DQMZLTXERSFNPB-UHFFFAOYSA-N,-7.0,28786.73
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.9,40733.67
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-6.9,31952.1
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.9,28796.58
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.3,45614.07
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.8,40427.99
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-7.3,39600.17
UGJWZYARKOFRDB-UHFFFAOYSA-O,-6.3,26302.55
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.2,32791.34
NJCBUSHGCBERSK-UHFFFAOYSA-N,-7.2,30123.6
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-7.4,37840.46
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-8.6,31251.46
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-9.2,34189.6
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.6,37510.74
WHUUTDBJXJRKMK-VKHMYHEASA-N,-5.1,54469.65
XBBDACCLCFWBSI-ZETCQYMHSA-N,-6.6,42389.9
FMCGSUUBYTWNDP-ONGXEEELSA-N,-6.2,39770.54
DYDCUQKUCUHJBH-UWTATZPHSA-N,-4.2,42308.81
HIANJWSAHKJQTH-UHFFFAOYSA-N,-8.2,35540.57
DQGFCLJXYFXXIJ-UHFFFAOYSA-N,-7.9,31162.97
JXSJBGJIGXNWCI-MRVPVSSYSA-N,-5.3,33388.39
QZMQDHNCNUGQSO-UHFFFAOYSA-N,-5.0,43722.91
NTEDWGYJNHZKQW-DGMDOPGDSA-N,-4.9,40164.22
OFCNXPDARWKPPY-UHFFFAOYSA-N,-5.5,38410.3
SQYNKIJPMDEDEG-KXGDERBTSA-N,-5.1,41776.71
