ligand,energy,binding score
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-9.2,35217.71
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-7.3,47493.65
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-6.3,73107.03
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-6.8,50887.6
PYZRQGJRPPTADH-UHFFFAOYSA-N,-7.0,40490.17
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-8.3,34804.38
VGLGVJVUHYTIIU-LLVKDONJSA-N,-7.9,30795.33
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-7.9,42551.74
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-5.4,57238.0
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.2,54957.46
URJQOOISAKEBKW-UHFFFAOYSA-N,-6.0,30731.0
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-6.0,66172.44
XBBDACCLCFWBSI-ZETCQYMHSA-N,-6.6,57978.1
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-3.7,47383.03
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.6,51213.05
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-6.3,62607.46
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-7.8,52689.91
NJCBUSHGCBERSK-UHFFFAOYSA-N,-7.2,45758.16
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-6.9,55396.43
UGJWZYARKOFRDB-UHFFFAOYSA-O,-6.5,57386.99
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-7.5,43791.7
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-7.1,59766.2
DQMZLTXERSFNPB-UHFFFAOYSA-N,-7.0,56363.92
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-6.0,58681.58
WHUUTDBJXJRKMK-VKHMYHEASA-N,-5.0,69148.83
YUGZHQHSNYIFLG-FQEVSTJZSA-N,-8.3,50539.63
FMCGSUUBYTWNDP-ONGXEEELSA-N,-6.2,52874.52
XCDXSSFOJZZGQC-UHFFFAOYSA-N,-6.8,68128.04
OFCNXPDARWKPPY-UHFFFAOYSA-N,-5.5,63314.38
