ligand,energy,binding score
DRBBFCLWYRJSJZ-UHFFFAOYSA-N,-5.4,46072.88
ZNEWHQLOPFWXOF-UHFFFAOYSA-N,-4.0,47861.66
NJCBUSHGCBERSK-UHFFFAOYSA-N,-7.4,44062.32
MQJKPEGWNLWLTK-UHFFFAOYSA-N,-7.5,51539.28
VGLGVJVUHYTIIU-LLVKDONJSA-N,-8.5,34754.93
JYTNQNCOQXFQPK-MRXNPFEDSA-N,-10.2,41675.41
WHUUTDBJXJRKMK-VKHMYHEASA-N,-5.3,43367.18
WVRIPRILKKOIQL-UHFFFAOYSA-N,-6.4,31462.77
CYFLXLSBHQBMFT-UHFFFAOYSA-N,-8.2,45808.68
YUXIBTJKHLUKBD-UHFFFAOYSA-N,-6.0,45481.21
XBBDACCLCFWBSI-ZETCQYMHSA-N,-6.9,57462.18
VMIYHDSEFNYJSL-UHFFFAOYSA-N,-8.3,49726.11
AXNKGLDCLYLVLQ-UHFFFAOYSA-N,-8.1,50297.35
KPYSYYIEGFHWSV-QMMMGPOBSA-N,-7.5,38217.48
UBQNRHZMVUUOMG-UHFFFAOYSA-N,-7.9,59790.03
QCDFBFJGMNKBDO-UHFFFAOYSA-N,-7.2,63285.27
DQMZLTXERSFNPB-UHFFFAOYSA-N,-6.8,34550.69
BUCJFFQZPGTGPX-UHFFFAOYSA-N,-9.7,39024.94
WQYRHRAZNNRDIA-UHFFFAOYSA-N,-6.7,49149.62
PYZRQGJRPPTADH-UHFFFAOYSA-N,-7.9,45961.47
ADBFDJQRBQZXAB-UHFFFAOYSA-N,-9.4,48463.9
UGJWZYARKOFRDB-UHFFFAOYSA-O,-7.7,42792.95
MCJGNVYPOGVAJF-UHFFFAOYSA-N,-7.9,62243.61
URJQOOISAKEBKW-UHFFFAOYSA-N,-6.4,32652.03
JWPGJSVJDAJRLW-UHFFFAOYSA-N,-8.2,40880.91
IZOYMGQQVNAMHS-UHFFFAOYSA-N,-7.5,40756.57
QZMQDHNCNUGQSO-UHFFFAOYSA-N,-5.5,58287.18
CMSMOCZEIVJLDB-AWEZNQCLSA-N,-5.6,42221.58
PTXGHCGBYMQQIG-RRHRGVEJSA-N,-9.0,33772.46
NVBZUCIQNYPGCI-CTYIDZIISA-N,-8.7,36125.66
HIANJWSAHKJQTH-UHFFFAOYSA-N,-9.0,43249.46
DYDCUQKUCUHJBH-UWTATZPHSA-N,-4.5,42949.0
YUGZHQHSNYIFLG-FQEVSTJZSA-N,-10.2,39787.05
WYDUSKDSKCASEF-IBGZPJMESA-N,-8.7,18527.97
NTEDWGYJNHZKQW-DGMDOPGDSA-N,-5.2,45812.72
OFCNXPDARWKPPY-UHFFFAOYSA-N,-5.7,49833.64
XCDXSSFOJZZGQC-UHFFFAOYSA-N,-8.2,45268.29
YEKQSSHBERGOJK-UHFFFAOYSA-N,-7.7,48454.46
MFOCDFTXLCYLKU-CMPLNLGQSA-N,-7.9,46785.51
HJCMDXDYPOUFDY-WHFBIAKZSA-N,-6.4,32873.43
RDJGLLICXDHJDY-LLVKDONJSA-N,-9.3,39428.32
HXRSXEDVVARPHP-UHFFFAOYSA-N,-8.9,31473.27
SQYNKIJPMDEDEG-KXGDERBTSA-N,-5.2,62116.8
OUBCNLGXQFSTLU-UHFFFAOYSA-N,-9.2,43507.14
DQGFCLJXYFXXIJ-UHFFFAOYSA-N,-9.4,45850.7
YEKMWXFHPZBZLR-VIFPVBQESA-N,-8.0,56570.62
FMCGSUUBYTWNDP-ONGXEEELSA-N,-6.1,51733.84
JXSJBGJIGXNWCI-MRVPVSSYSA-N,-6.0,42955.58
YQEZLKZALYSWHR-CYBMUJFWSA-N,-6.4,39906.69
VNFAARJCGSAROU-CYBMUJFWSA-N,-8.5,40749.11
LCTZPQRFOZKZNK-UHFFFAOYSA-N,-10.0,44816.32
STDBAQMTJLUMFW-UHFFFAOYSA-N,-6.0,41700.54
VXROHTDSRBRJLN-UHFFFAOYSA-O,-7.8,44148.84
