ligand,E1,E2,E3
NCNRHFGMJRPRSK-UHFFFAOYSA-N,-8.6,-8.9,-6.6
YMVWGSQGCWCDGW-UHFFFAOYSA-N,-7.0,-7.1,-5.2
BCQTVJKBTWGHCX-UHFFFAOYSA-N,-8.3,-7.2,-5.6
VYAGDYWTCWDKIS-MRVPVSSYSA-N,-6.1,-5.4,-4.3
MPOYJPINNSIHAK-UHFFFAOYSA-N,-6.3,-5.2,-4.7
QWCRAEMEVRGPNT-UHFFFAOYSA-N,-9.0,-9.0,-6.2
GMVPRGQOIOIIMI-DWKJAMRDSA-N,-6.8,-6.6,-5.3
VSRBKQFNFZQRBM-ZETCQYMHSA-N,-4.3,-3.5,-3.6
YEJCDKJIEMIWRQ-UHFFFAOYSA-N,-10.1,-8.0,-5.6
WHLUQAYNVOGZST-UHFFFAOYSA-N,-7.7,-6.9,-5.6
BWSSMIJUDVUASQ-AWEZNQCLSA-N,-9.2,-7.4,-6.4
XFYDIVBRZNQMJC-UHFFFAOYSA-N,-6.6,-5.4,-5.3
FGXWKSZFVQUSTL-UHFFFAOYSA-N,-9.7,-9.7,-7.1
BSHWLCACYCVCJE-REWPJTCUSA-N,-8.0,-8.3,-6.3
DFPJEJKMDZFZHC-GHVJWSGMSA-N,-10.1,-10.1,-7.6
HXCXASJHZQXCKK-UHFFFAOYSA-N,-5.9,-4.8,-4.7
PXLVRFQEBVNJOH-SECBINFHSA-N,-7.2,-6.4,-5.5
NEDPPCHNEOMTJV-UHFFFAOYSA-N,-7.8,-7.7,-6.3
IQVRBWUUXZMOPW-PKNBQFBNSA-N,-8.2,-8.1,-5.8
OATDVDIMNNZTEY-DAXLTYESSA-N,-8.6,-7.7,-6.4
ZJIJAJXFLBMLCK-UHFFFAOYSA-N,-7.1,-5.9,-5.0
IQFYYKKMVGJFEH-CSMHCCOUSA-N,-6.9,-6.1,-5.5
RDEOYUSTRWNWLX-KRWDZBQOSA-N,-8.3,-7.3,-5.7
QCWJONLQSHEGEJ-UHFFFAOYSA-N,-4.8,-4.7,-3.7
IUNJANQVIJDFTQ-TUAOUCFPSA-N,-6.7,-6.5,-5.2
