ligand,E1,E2,E3
BSHWLCACYCVCJE-REWPJTCUSA-N,-7.7,-5.6,-5.1
RDEOYUSTRWNWLX-KRWDZBQOSA-N,-6.7,-4.8,-5.7
YMVWGSQGCWCDGW-UHFFFAOYSA-N,-6.2,-5.4,-5.2
IQFYYKKMVGJFEH-CSMHCCOUSA-N,-6.0,-7.0,-6.4
ZJIJAJXFLBMLCK-UHFFFAOYSA-N,-6.8,-8.6,-8.0
BWSSMIJUDVUASQ-AWEZNQCLSA-N,-7.3,-5.3,-5.6
IUNJANQVIJDFTQ-TUAOUCFPSA-N,-5.2,-5.0,-4.5
IQVRBWUUXZMOPW-PKNBQFBNSA-N,-7.2,-5.7,-5.9
QCWJONLQSHEGEJ-UHFFFAOYSA-N,-4.4,-3.3,-3.2
QWCRAEMEVRGPNT-UHFFFAOYSA-N,-6.9,-5.7,-5.2
OATDVDIMNNZTEY-DAXLTYESSA-N,-7.7,-5.0,-5.8
NEDPPCHNEOMTJV-UHFFFAOYSA-N,-7.3,-5.8,-5.9
XFYDIVBRZNQMJC-UHFFFAOYSA-N,-6.0,-6.5,-4.9
VSRBKQFNFZQRBM-ZETCQYMHSA-N,-3.9,-4.7,-4.7
MPOYJPINNSIHAK-UHFFFAOYSA-N,-5.9,-6.3,-6.6
PXLVRFQEBVNJOH-SECBINFHSA-N,-7.0,-6.2,-5.8
DFPJEJKMDZFZHC-GHVJWSGMSA-N,-8.9,-6.7,-6.9
NCNRHFGMJRPRSK-UHFFFAOYSA-N,-8.7,-7.0,-7.2
GMVPRGQOIOIIMI-DWKJAMRDSA-N,-6.1,-5.2,-5.3
WHLUQAYNVOGZST-UHFFFAOYSA-N,-6.6,-5.2,-5.6
FGXWKSZFVQUSTL-UHFFFAOYSA-N,-8.3,-6.3,-6.6
YEJCDKJIEMIWRQ-UHFFFAOYSA-N,-6.6,-3.5,-4.9
BCQTVJKBTWGHCX-UHFFFAOYSA-N,-6.0,-5.5,-4.6
VYAGDYWTCWDKIS-MRVPVSSYSA-N,-4.9,-3.6,-4.1
HXCXASJHZQXCKK-UHFFFAOYSA-N,-5.8,-7.0,-6.5
