ligand,E1,E2,E3
YHKPTICJRUESOY-UHFFFAOYSA-N,-6.3,-6.8,-6.4
ANZXOIAKUNOVQU-OAHLLOKOSA-N,-8.3,-7.4,-7.0
ASWVTGNCAZCNNR-UHFFFAOYSA-N,-7.8,-7.7,-7.4
XZWYZXLIPXDOLR-UHFFFAOYSA-N,-6.2,-6.0,-5.1
RGLYKWWBQGJZGM-ISLYRVAYSA-N,-7.7,-7.2,-7.2
SFITWQDBYUMAPS-UHFFFAOYSA-N,-8.6,-8.4,-7.8
XUJNEKJLAYXESH-REOHCLBHSA-N,-4.4,-4.7,-3.6
RDHQFKQIGNGIED-MRVPVSSYSA-N,-6.0,-5.8,-5.1
HSTZMXCBWJGKHG-CUYWLFDKSA-N,-10.4,-9.3,-9.4
CORFWQGVBFFZHF-AKGSDVBQSA-N,-6.7,-6.7,-6.2
JAYAGJDXJIDEKI-BNNXBDHTSA-N,-10.0,-11.0,-12.7
AIONOLUJZLIMTK-AWEZNQCLSA-N,-8.5,-8.3,-8.3
OLBWFRRUHYQABZ-MRVPVSSYSA-N,-6.4,-6.7,-6.4
BRZANEXCSZCZCI-UHFFFAOYSA-N,-9.0,-8.3,-7.8
OJSFTALXCYKKFQ-YLJYHZDGSA-N,-8.8,-8.3,-8.4
WKGXYQFOCVYPAC-UHFFFAOYSA-N,-6.9,-7.3,-6.4
GAWOVNGQYQVFLI-UHFFFAOYSA-N,-7.7,-7.2,-7.0
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,-9.1,-9.3,-9.2
KRZCNRGNPAESDC-UHFFFAOYSA-N,-6.0,-6.0,-6.3
ZGNRRVAPHPANFI-UHFFFAOYSA-N,-6.8,-7.7,-6.7
OOVJCSPCMCAXEX-UHFFFAOYSA-N,-7.6,-8.0,-7.3
NTHXOOBQLCIOLC-GARJFASQSA-N,-7.6,-7.1,-7.0
UORJNBVJVRLXMQ-UHFFFAOYSA-N,-7.0,-7.0,-5.8
VPPJLAIAVCUEMN-GFCCVEGCSA-N,-7.3,-6.5,-6.8
OCSOHUROTFFTFO-QMMMGPOBSA-N,-6.5,-6.4,-6.1
