ligand,E1,E2,E3
KRZCNRGNPAESDC-UHFFFAOYSA-N,-4.8,-4.3,-4.2
UORJNBVJVRLXMQ-UHFFFAOYSA-N,-5.3,-4.8,-4.3
AIONOLUJZLIMTK-AWEZNQCLSA-N,-6.9,-6.9,-6.1
HSTZMXCBWJGKHG-CUYWLFDKSA-N,-7.0,-6.8,-6.7
WKGXYQFOCVYPAC-UHFFFAOYSA-N,-5.4,-5.4,-4.5
OCSOHUROTFFTFO-QMMMGPOBSA-N,-5.1,-5.6,-5.0
OJSFTALXCYKKFQ-YLJYHZDGSA-N,-6.2,-5.8,-4.6
NTHXOOBQLCIOLC-GARJFASQSA-N,-5.1,-5.3,-4.8
SFITWQDBYUMAPS-UHFFFAOYSA-N,-6.3,-7.1,-5.7
JAYAGJDXJIDEKI-BNNXBDHTSA-N,-8.3,-7.7,-7.8
CORFWQGVBFFZHF-AKGSDVBQSA-N,-5.2,-5.5,-4.7
XZWYZXLIPXDOLR-UHFFFAOYSA-N,-4.6,-4.5,-4.9
GAWOVNGQYQVFLI-UHFFFAOYSA-N,-5.8,-6.3,-5.5
XUJNEKJLAYXESH-REOHCLBHSA-N,-3.4,-3.4,-3.5
ANZXOIAKUNOVQU-OAHLLOKOSA-N,-5.4,-6.0,-5.6
BRZANEXCSZCZCI-UHFFFAOYSA-N,-6.7,-6.3,-6.2
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,-7.0,-7.2,-6.4
OOVJCSPCMCAXEX-UHFFFAOYSA-N,-5.7,-6.3,-5.0
YHKPTICJRUESOY-UHFFFAOYSA-N,-5.2,-5.2,-4.4
OLBWFRRUHYQABZ-MRVPVSSYSA-N,-5.0,-5.6,-5.3
ZGNRRVAPHPANFI-UHFFFAOYSA-N,-5.7,-5.8,-4.9
RDHQFKQIGNGIED-MRVPVSSYSA-N,-4.3,-4.4,-3.4
VPPJLAIAVCUEMN-GFCCVEGCSA-N,-5.2,-5.4,-4.6
ASWVTGNCAZCNNR-UHFFFAOYSA-N,-6.3,-6.1,-5.9
RGLYKWWBQGJZGM-ISLYRVAYSA-N,-5.4,-6.4,-5.0
