ligand,E1,E2,E3
SFITWQDBYUMAPS-UHFFFAOYSA-N,-10.3,-8.2,-8.7
CORFWQGVBFFZHF-AKGSDVBQSA-N,-7.9,-6.0,-6.6
RDHQFKQIGNGIED-MRVPVSSYSA-N,-6.0,-4.4,-5.1
OJSFTALXCYKKFQ-YLJYHZDGSA-N,-9.0,-7.9,-8.6
WKGXYQFOCVYPAC-UHFFFAOYSA-N,-8.0,-6.2,-7.7
OCSOHUROTFFTFO-QMMMGPOBSA-N,-7.1,-5.9,-7.0
NTHXOOBQLCIOLC-GARJFASQSA-N,-5.7,-6.4,-4.0
JAYAGJDXJIDEKI-BNNXBDHTSA-N,-11.1,-8.5,-8.8
UORJNBVJVRLXMQ-UHFFFAOYSA-N,-7.8,-5.7,-5.3
OOVJCSPCMCAXEX-UHFFFAOYSA-N,-9.9,-7.2,-7.5
GAWOVNGQYQVFLI-UHFFFAOYSA-N,-9.1,-6.7,-7.1
XUJNEKJLAYXESH-REOHCLBHSA-N,-4.4,-3.1,-3.9
ANZXOIAKUNOVQU-OAHLLOKOSA-N,-9.0,-6.4,-6.5
ASWVTGNCAZCNNR-UHFFFAOYSA-N,-9.4,-6.8,-8.8
ZGNRRVAPHPANFI-UHFFFAOYSA-N,-8.6,-6.0,-7.7
KRZCNRGNPAESDC-UHFFFAOYSA-N,-6.9,-5.5,-6.1
RGLYKWWBQGJZGM-ISLYRVAYSA-N,-9.6,-6.4,-8.5
VPPJLAIAVCUEMN-GFCCVEGCSA-N,-8.1,-6.3,-7.9
HSTZMXCBWJGKHG-CUYWLFDKSA-N,-10.3,-7.8,-8.6
XZWYZXLIPXDOLR-UHFFFAOYSA-N,-6.1,-4.5,-5.4
OLBWFRRUHYQABZ-MRVPVSSYSA-N,-7.3,-5.7,-7.2
BRZANEXCSZCZCI-UHFFFAOYSA-N,-10.1,-8.0,-9.2
YHKPTICJRUESOY-UHFFFAOYSA-N,-7.6,-6.2,-5.0
ACCMWZWAEFYUGZ-UHFFFAOYSA-N,-8.4,-8.2,-8.6
AIONOLUJZLIMTK-AWEZNQCLSA-N,-10.6,-7.5,-8.5
