ligand,E1,E2,E3
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-5.0,-5.1,-4.9
CPJSUEIXXCENMM-UHFFFAOYSA-N,-6.0,-5.3,-4.3
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-8.0,-6.1,-6.0
VJZITPJGSQKZMX-XDPRQOKASA-N,-8.9,-8.0,-6.4
XWZXRENCCHMZNF-RXMQYKEDSA-N,-5.3,-4.7,-4.4
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-5.5,-4.8,-4.3
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-6.7,-6.4,-5.6
MROJXXOCABQVEF-UHFFFAOYSA-N,-6.5,-6.4,-5.1
GHASVSINZRGABV-UHFFFAOYSA-N,-5.3,-4.8,-4.4
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-6.7,-5.2,-5.5
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-6.4,-6.1,-5.4
XGNKHIPCARGLGS-UHFFFAOYSA-N,-6.8,-5.8,-6.1
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-6.4,-5.9,-5.4
HHFOOWPWAXNJNY-SECBINFHSA-N,-5.6,-4.1,-4.6
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-6.1,-5.6,-4.9
YNJBWRMUSHSURL-UHFFFAOYSA-N,-4.0,-3.3,-4.0
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-8.3,-7.1,-6.0
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-6.1,-5.5,-5.3
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-9.2,-7.0,-6.1
FFYNAVGJSYHHFO-NRFANRHFSA-N,-7.6,-6.7,-5.6
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-6.7,-5.0,-5.5
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-7.0,-5.2,-5.2
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-8.0,-6.5,-5.7
RYYCJUAHISIHTL-UHFFFAOYSA-N,-5.9,-5.6,-5.1
LQJARUQXWJSDFL-UHFFFAOYSA-N,-5.9,-5.5,-4.8
