ligand,E1,E2,E3
HHFOOWPWAXNJNY-SECBINFHSA-N,-5.5,-3.9,-4.6
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-6.1,-5.5,-5.3
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-6.5,-5.8,-5.3
YNJBWRMUSHSURL-UHFFFAOYSA-N,-4.0,-3.3,-4.0
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-7.1,-5.2,-5.2
XWZXRENCCHMZNF-RXMQYKEDSA-N,-5.3,-4.7,-4.4
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-6.8,-5.2,-5.5
CPJSUEIXXCENMM-UHFFFAOYSA-N,-6.0,-5.4,-4.2
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-6.7,-5.2,-5.4
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-6.4,-6.1,-5.5
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-5.5,-4.8,-4.3
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-8.0,-6.5,-5.7
XGNKHIPCARGLGS-UHFFFAOYSA-N,-6.9,-5.9,-6.0
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-6.7,-6.4,-5.6
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-9.2,-7.0,-6.0
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-8.3,-7.1,-6.1
GHASVSINZRGABV-UHFFFAOYSA-N,-5.3,-4.7,-4.4
MROJXXOCABQVEF-UHFFFAOYSA-N,-6.5,-6.4,-5.1
RYYCJUAHISIHTL-UHFFFAOYSA-N,-5.9,-5.6,-5.1
FFYNAVGJSYHHFO-NRFANRHFSA-N,-7.4,-6.7,-5.1
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-4.8,-5.1,-4.8
VJZITPJGSQKZMX-XDPRQOKASA-N,-8.8,-8.1,-6.1
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-8.4,-5.7,-5.4
LQJARUQXWJSDFL-UHFFFAOYSA-N,-6.0,-5.4,-4.8
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-6.1,-5.6,-4.9
