ligand,E1,E2,E3
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-5.1,-5.2,-4.9
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-5.5,-5.1,-4.1
HHFOOWPWAXNJNY-SECBINFHSA-N,-4.8,-4.1,-4.0
GHASVSINZRGABV-UHFFFAOYSA-N,-4.9,-4.4,-4.2
LQJARUQXWJSDFL-UHFFFAOYSA-N,-6.0,-5.5,-4.8
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-5.3,-5.9,-4.8
RYYCJUAHISIHTL-UHFFFAOYSA-N,-5.3,-5.3,-4.6
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-6.7,-6.6,-5.3
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-6.4,-6.1,-4.9
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-7.0,-6.4,-5.6
CPJSUEIXXCENMM-UHFFFAOYSA-N,-5.5,-5.3,-4.9
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-4.7,-4.5,-4.2
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-6.1,-5.5,-5.1
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-7.1,-6.8,-5.0
XWZXRENCCHMZNF-RXMQYKEDSA-N,-5.0,-4.3,-4.1
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-6.0,-5.9,-5.0
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-5.9,-5.6,-5.7
MROJXXOCABQVEF-UHFFFAOYSA-N,-5.8,-6.2,-6.3
XGNKHIPCARGLGS-UHFFFAOYSA-N,-5.8,-6.1,-4.7
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-7.1,-5.7,-6.2
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-4.7,-4.2,-4.3
FFYNAVGJSYHHFO-NRFANRHFSA-N,-6.2,-6.1,-6.1
VJZITPJGSQKZMX-XDPRQOKASA-N,-7.6,-7.0,-6.0
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-5.3,-5.0,-4.6
YNJBWRMUSHSURL-UHFFFAOYSA-N,-3.7,-3.7,-3.1
