ligand,E1,E2,E3
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-5.5,-5.2,-5.3
FFYNAVGJSYHHFO-NRFANRHFSA-N,-6.0,-5.6,-5.1
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-5.8,-5.7,-4.5
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-3.8,-4.6,-3.7
MROJXXOCABQVEF-UHFFFAOYSA-N,-5.1,-5.7,-5.0
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-5.5,-5.9,-5.4
XWZXRENCCHMZNF-RXMQYKEDSA-N,-4.2,-4.4,-3.6
YNJBWRMUSHSURL-UHFFFAOYSA-N,-3.6,-3.2,-3.5
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-6.0,-6.6,-5.4
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-6.5,-6.8,-5.6
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-4.0,-4.3,-3.5
VJZITPJGSQKZMX-XDPRQOKASA-N,-6.5,-7.3,-6.2
LQJARUQXWJSDFL-UHFFFAOYSA-N,-4.6,-5.4,-4.7
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-5.9,-5.0,-4.8
GHASVSINZRGABV-UHFFFAOYSA-N,-3.9,-4.3,-3.8
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-6.2,-5.9,-6.2
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-4.9,-5.6,-5.1
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-4.8,-5.2,-4.4
CPJSUEIXXCENMM-UHFFFAOYSA-N,-4.5,-5.3,-4.4
RYYCJUAHISIHTL-UHFFFAOYSA-N,-5.0,-5.0,-4.4
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-5.3,-5.4,-4.9
XGNKHIPCARGLGS-UHFFFAOYSA-N,-5.9,-6.2,-5.2
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-6.7,-5.8,-5.4
HHFOOWPWAXNJNY-SECBINFHSA-N,-4.6,-4.7,-3.8
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-5.5,-4.7,-3.9
