ligand,E1,E2,E3
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-5.1,-5.2,-4.9
YNJBWRMUSHSURL-UHFFFAOYSA-N,-3.8,-3.7,-3.0
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-6.8,-5.7,-6.2
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-4.8,-4.5,-4.1
FFYNAVGJSYHHFO-NRFANRHFSA-N,-6.7,-6.6,-5.9
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-5.9,-4.8,-5.7
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-7.1,-6.8,-5.0
VJZITPJGSQKZMX-XDPRQOKASA-N,-8.2,-7.0,-6.0
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-5.5,-5.1,-4.2
CPJSUEIXXCENMM-UHFFFAOYSA-N,-5.5,-5.3,-5.0
MROJXXOCABQVEF-UHFFFAOYSA-N,-5.9,-6.2,-6.3
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-4.5,-4.1,-4.3
XWZXRENCCHMZNF-RXMQYKEDSA-N,-5.0,-4.3,-4.1
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-6.4,-6.0,-5.2
LQJARUQXWJSDFL-UHFFFAOYSA-N,-6.0,-5.3,-4.8
XGNKHIPCARGLGS-UHFFFAOYSA-N,-5.8,-6.0,-4.8
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-5.3,-5.0,-4.6
RYYCJUAHISIHTL-UHFFFAOYSA-N,-5.3,-5.3,-4.6
GHASVSINZRGABV-UHFFFAOYSA-N,-4.9,-4.4,-4.2
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-6.2,-6.6,-5.0
HHFOOWPWAXNJNY-SECBINFHSA-N,-4.8,-4.1,-4.0
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-6.8,-6.2,-5.6
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-6.0,-6.0,-4.8
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-6.1,-5.6,-5.1
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-5.3,-6.1,-4.9
