ligand,E1,E2,E3
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-5.9,-5.9,-6.6
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-5.1,-4.9,-4.7
XWZXRENCCHMZNF-RXMQYKEDSA-N,-5.0,-5.3,-5.2
VJZITPJGSQKZMX-XDPRQOKASA-N,-8.4,-8.4,-9.1
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-7.5,-7.5,-8.3
YNJBWRMUSHSURL-UHFFFAOYSA-N,-4.2,-3.8,-4.0
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-5.7,-5.8,-6.1
HHFOOWPWAXNJNY-SECBINFHSA-N,-5.3,-4.8,-5.6
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-8.9,-9.1,-7.7
CPJSUEIXXCENMM-UHFFFAOYSA-N,-5.3,-5.9,-5.7
RYYCJUAHISIHTL-UHFFFAOYSA-N,-5.9,-5.7,-5.9
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-6.1,-6.1,-6.7
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-7.1,-6.3,-6.5
FFYNAVGJSYHHFO-NRFANRHFSA-N,-6.8,-7.2,-7.3
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-6.0,-6.6,-6.7
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-5.1,-5.4,-6.0
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-8.2,-7.7,-8.3
GHASVSINZRGABV-UHFFFAOYSA-N,-5.2,-4.9,-5.1
MROJXXOCABQVEF-UHFFFAOYSA-N,-5.9,-6.5,-6.2
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-6.8,-6.0,-6.9
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-7.1,-7.5,-7.9
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-6.0,-6.7,-6.3
XGNKHIPCARGLGS-UHFFFAOYSA-N,-7.6,-7.6,-6.9
LQJARUQXWJSDFL-UHFFFAOYSA-N,-5.5,-5.9,-5.8
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-5.4,-5.1,-5.1
