ligand,E1,E2,E3
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-4.5,-6.6,-4.0
FFYNAVGJSYHHFO-NRFANRHFSA-N,-5.9,-6.3,-5.6
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-4.6,-5.4,-4.2
CPJSUEIXXCENMM-UHFFFAOYSA-N,-3.9,-5.9,-4.9
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-4.8,-7.7,-6.3
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-4.8,-5.7,-5.2
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-5.4,-7.0,-5.9
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-4.4,-6.0,-4.4
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-4.6,-4.7,-4.5
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-4.1,-5.6,-4.9
MROJXXOCABQVEF-UHFFFAOYSA-N,-4.6,-6.2,-4.8
LQJARUQXWJSDFL-UHFFFAOYSA-N,-3.8,-6.1,-4.6
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-5.0,-6.4,-6.1
XWZXRENCCHMZNF-RXMQYKEDSA-N,-4.1,-5.3,-4.1
XGNKHIPCARGLGS-UHFFFAOYSA-N,-4.6,-6.4,-4.7
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-4.2,-5.2,-4.8
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-4.6,-5.7,-5.2
RYYCJUAHISIHTL-UHFFFAOYSA-N,-4.9,-6.5,-5.2
VJZITPJGSQKZMX-XDPRQOKASA-N,-5.4,-7.5,-6.4
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-4.7,-5.4,-3.8
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-4.7,-5.9,-6.0
YNJBWRMUSHSURL-UHFFFAOYSA-N,-3.6,-4.2,-3.7
GHASVSINZRGABV-UHFFFAOYSA-N,-4.5,-4.7,-4.3
HHFOOWPWAXNJNY-SECBINFHSA-N,-3.7,-5.4,-3.1
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-4.5,-7.0,-5.8
