ligand,E1,E2,E3
RYYCJUAHISIHTL-UHFFFAOYSA-N,-4.2,-4.2,-4.1
ZELCNSAUMHNSSU-ISLYRVAYSA-N,-5.5,-5.5,-5.1
FFYNAVGJSYHHFO-NRFANRHFSA-N,-5.4,-5.4,-5.1
SUAJWTBTMNHVBZ-GSVOUGTGSA-N,-3.2,-3.7,-3.0
DYZJXZOQQRXDLE-AWEZNQCLSA-O,-4.3,-4.9,-4.4
SKIVFJLNDNKQPD-UHFFFAOYSA-N,-4.5,-4.6,-4.3
GHASVSINZRGABV-UHFFFAOYSA-N,-3.5,-3.4,-3.6
GYDJEQRTZSCIOI-LJGSYFOKSA-N,-4.4,-4.3,-3.8
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,-3.6,-3.9,-2.9
YNJBWRMUSHSURL-UHFFFAOYSA-N,-3.6,-3.0,-2.6
VJZITPJGSQKZMX-XDPRQOKASA-N,-6.7,-6.4,-5.7
SVEBYYWCXTVYCR-LBPRGKRZSA-N,-5.3,-4.7,-4.0
UVTLONZTPXCUPU-ZNMIVQPWSA-N,-4.7,-5.2,-3.9
HHFOOWPWAXNJNY-SECBINFHSA-N,-4.2,-4.0,-3.5
XWZXRENCCHMZNF-RXMQYKEDSA-N,-3.5,-4.0,-3.4
MROJXXOCABQVEF-UHFFFAOYSA-N,-4.6,-4.6,-4.0
YXSLJKQTIDHPOT-LJCJQEJUSA-N,-5.7,-6.1,-5.8
HYIMSNHJOBLJNT-UHFFFAOYSA-N,-5.0,-5.1,-4.1
LQJARUQXWJSDFL-UHFFFAOYSA-N,-4.5,-4.5,-3.8
ZFXYFBGIUFBOJW-UHFFFAOYSA-N,-4.0,-4.4,-3.5
CPJSUEIXXCENMM-UHFFFAOYSA-N,-4.0,-4.3,-4.0
QZVNQOLPLYWLHQ-ZEQKJWHPSA-N,-5.6,-6.3,-5.5
ZQMQGBHQZZQTJE-UHFFFAOYSA-N,-5.8,-5.4,-4.8
XGNKHIPCARGLGS-UHFFFAOYSA-N,-5.7,-5.4,-5.1
UMJHTFHIQDEGKB-UHFFFAOYSA-N,-4.7,-5.3,-4.8
