ligand,E1,E2,E3
YIQPUIGJQJDJOS-UHFFFAOYSA-N,-6.9,-6.2,-5.5
JVYKJZPZFIUYAB-UHFFFAOYSA-N,-6.4,-5.8,-5.6
RZXZIZDRFQFCTA-PVQJCKRUSA-N,-3.8,-3.8,-3.6
LEBVLXFERQHONN-MRXNPFEDSA-N,-6.2,-4.9,-5.4
AQCHWTWZEMGIFD-JTQLQIEISA-N,-7.5,-6.0,-5.7
CJOFXWAVKWHTFT-XSFVSMFZSA-N,-6.6,-5.5,-5.5
WRYZEGZNBYOMLE-UHFFFAOYSA-N,-5.5,-5.2,-5.0
VCRQLDNIOXNDMT-UHFFFAOYSA-N,-7.0,-6.2,-6.2
VSZGPKBBMSAYNT-RRFJBIMHSA-N,-5.8,-5.1,-4.8
LZRDDINFIHUVCX-UHFFFAOYSA-N,-7.5,-5.9,-6.0
GOIQOQCNFWYSTQ-RXMQYKEDSA-N,-5.1,-5.1,-4.7
WHXMKTBCFHIYNQ-SECBINFHSA-N,-7.5,-6.8,-5.5
UFAHZIUFPNSHSL-MRVPVSSYSA-O,-4.9,-4.3,-3.9
XPFRXWCVYUEORT-UHFFFAOYSA-N,-6.3,-6.4,-5.1
CULUWZNBISUWAS-UHFFFAOYSA-N,-6.8,-6.7,-5.4
AJKIRUJIDFJUKJ-UHFFFAOYSA-N,-5.9,-5.3,-4.5
RKHQGWMMUURILY-UHRZLXHJSA-N,-6.7,-6.7,-6.0
LBRNZQRZDLLIHL-LJQANCHMSA-N,-6.4,-5.5,-5.4
AELCINSCMGFISI-DTWKUNHWSA-N,-5.0,-5.1,-4.6
XACKNLSZYYIACO-DJLDLDEBSA-N,-6.7,-6.2,-5.2
QIHLUZAFSSMXHQ-UHFFFAOYSA-N,-6.0,-5.9,-6.3
YQEZLKZALYSWHR-ZDUSSCGKSA-N,-6.6,-5.6,-5.0
UMWAUEZOGHNSCH-SECBINFHSA-N,-5.1,-4.8,-5.1
